First Name,Amount,Position
"TEDDY","6","=271"
"TOM","6","=271"
"WILFRED","6","=271"
"YUSUF","6","=271"
"ZANE","6","=271"
"ZAVIER","6","=271"
"ZAYN","6","=271"
"ABEL","5","=300"
"ALESSANDRO","5","=300"
"ANTONIO","5","=300"
"AVYAAN","5","=300"
"AYAAN","5","=300"
"CASEY","5","=300"
"CRUZE","5","=300"
"CYRUS","5","=300"
"DEAN","5","=300"
"DIGBY","5","=300"
"DOUGLAS","5","=300"
"ENZO","5","=300"
"FATEH","5","=300"
"FERGUS","5","=300"
"GURFATEH","5","=300"
"HEATH","5","=300"
"IVAN","5","=300"
"JAKE","5","=300"
"JAXSON","5","=300"
"JAYLEN","5","=300"
"JEREMIAH","5","=300"
"JETHRO","5","=300"
"JOHNATHAN","5","=300"
"JOHNNY","5","=300"
"JOSIAH","5","=300"
"KAISON","5","=300"
"KHAI","5","=300"
"KIAAN","5","=300"
"KOBY","5","=300"
"KODY","5","=300"
"LENNOX","5","=300"
"LUKAS","5","=300"
"MAC","5","=300"
"MARK","5","=300"
"MARSHALL","5","=300"
"MARTIN","5","=300"
"MATIAS","5","=300"
"NICOLAS","5","=300"
"RHYS","5","=300"
"SAGE","5","=300"
"SAINT","5","=300"
"SANTINO","5","=300"
"SHIV","5","=300"
"TEO","5","=300"
"TULLY","5","=300"
"VARDAAN","5","=300"
"VIVAAN","5","=300"
"WESLEY","5","=300"
"ZACH","5","=300"
"ZAYD","5","=300"
"ZEPHYR","5","=300"
"AAYAN","4","=351"
"ADONIS","4","=351"
"ADVIK","4","=351"
"AGAM","4","=351"
"ALESSIO","4","=351"
"ALISTAIR","4","=351"
"ANGELO","4","=351"
"ANHAD","4","=351"
"ATREUS","4","=351"
"AVERY","4","=351"
"AVITAJ","4","=351"
"AVYAN","4","=351"
"AYAN","4","=351"
"AYDEN","4","=351"
"BECKHAM","4","=351"
"BENTLEY","4","=351"
"BJORN","4","=351"
"BOSTON","4","=351"
"BRAYDEN","4","=351"
"BRIAN","4","=351"
"BYRON","4","=351"
"CALLUM","4","=351"
"CALVIN","4","=351"
"CARSON","4","=351"
"CASSIAN","4","=351"
"CHRISTOS","4","=351"
"CILLIAN","4","=351"
"CLANCY","4","=351"
"COLBY","4","=351"
"COLIN","4","=351"
"CREED","4","=351"
"EDISON","4","=351"
"EMANUEL","4","=351"
"FABIAN","4","=351"
"FINLAY","4","=351"
"FRANK","4","=351"
"FRASER","4","=351"
"FRED","4","=351"
"FYNN","4","=351"
"GIANNI","4","=351"
"GIO","4","=351"
"GREYSON","4","=351"
"HIMMAT","4","=351"
"HUSSAIN","4","=351"
"IDRIS","4","=351"
"ILIJA","4","=351"
"ISMAIL","4","=351"
"IVAAN","4","=351"
"JAVIER","4","=351"
"JIMMY","4","=351"
"JYE","4","=351"
"KADE","4","=351"
"KAYCE","4","=351"
"KEANU","4","=351"
"KILLIAN","4","=351"
"KINGSLEY","4","=351"
"KOEN","4","=351"
"KRISHIV","4","=351"
"LANDO","4","=351"
"LANDON","4","=351"
"LAWRENCE","4","=351"
"LEDGER","4","=351"
"LEONIDAS","4","=351"
"MANRAJ","4","=351"
"MAXIMILIAN","4","=351"
"MAXIMUS","4","=351"
"MIKAEL","4","=351"
"MILAN","4","=351"
"MILLER","4","=351"
"MINH","4","=351"
"MOHAMMED","4","=351"
"MORGAN","4","=351"
"MOSES","4","=351"
"NIHAL","4","=351"
"NIRVAIR","4","=351"
"ODIN","4","=351"
"PAUL","4","=351"
"PHILIP","4","=351"
"QUINN","4","=351"
"RAY","4","=351"
"RAYAN","4","=351"
"REEF","4","=351"
"RIAN","4","=351"
"RIO","4","=351"
"RIVAAN","4","=351"
"RUBEN","4","=351"
"RUDRA","4","=351"
"RUSSELL","4","=351"
"RYKER","4","=351"
"RYLEE","4","=351"
"SAM","4","=351"
"SANAD","4","=351"
"SHIA","4","=351"
"SIMON","4","=351"
"STERLING","4","=351"
"SUNNY","4","=351"
"TALON","4","=351"
"TAYLOR","4","=351"
"TREVOR","4","=351"
"WILBUR","4","=351"
