Given Name,Amount,Position
"CHARLOTTE","118","1"
"OLIVIA","103","2"
"AMELIA","99","3"
"AVA","96","4"
"ISLA","94","5"
"GRACE","83","6"
"ELLA","79","7"
"HARPER","75","8"
"WILLOW","67","9"
"IVY","66","10"
"MIA","64","11"
"SOPHIE","60","12"
"MATILDA","59","13"
"EVELYN","56","14"
"CHLOE","55","15"
"DAISY","54","=16"
"EVIE","54","=16"
"LUCY","54","=16"
"ELSIE","52","=19"
"LILY","52","=19"
"RUBY","52","=19"
"SOPHIA","52","=19"
"ZOE","50","23"
"HAZEL","46","24"
"FLORENCE","45","=25"
"SIENNA","45","=25"
"ABIGAIL","44","=27"
"ISABELLA","44","=27"
"LAYLA","44","=27"
"ALICE","42","=30"
"ELLIE","42","=30"
"MILA","42","=30"
"EMILY","41","=33"
"ZARA","41","=33"
"SADIE","38","35"
"HARRIET","36","36"
"PENELOPE","35","37"
"GEORGIA","34","38"
"ARIA","33","39"
"MACKENZIE","32","40"
"ADDISON","31","=41"
"VIOLET","31","=41"
"ELEANOR","30","=43"
"EMILIA","30","=43"
"IMOGEN","30","=43"
"FRANKIE","29","=46"
"HANNAH","29","=46"
"MAYA","29","=46"
"SCARLETT","29","=46"
"AYLA","28","=50"
"SOFIA","28","=50"
"ISABELLE","27","=52"
"ROSIE","27","=52"
"SUMMER","27","=52"
"AMBER","26","=55"
"LUNA","26","=55"
"POPPY","26","=55"
"SAVANNAH","26","=55"
"EVA","25","=59"
"JASMINE","25","=59"
"PAIGE","25","=59"
"STELLA","25","=59"
"ARIANA","24","=63"
"AURORA","24","=63"
"EMMA","24","=63"
"LARA","24","=63"
"LOLA","24","=63"
"MAGGIE","24","=63"
"AUDREY","23","=69"
"LILLY","23","=69"
"OLIVE","23","=69"
"AALIYAH","22","=72"
"ANNABELLE","22","=72"
"AUBREY","22","=72"
"BILLIE","22","=72"
"ADELINE","21","=76"
"BONNIE","21","=76"
"MADISON","21","=76"
"ROSE","21","=76"
"CHARLIE","20","=80"
"ESTHER","20","=80"
"FREYA","20","=80"
"MADDISON","20","=80"
"MAEVE","20","=80"
"MAISIE","20","=80"
"PIPPA","20","=80"
"ADA","19","=87"
"ALYSSA","19","=87"
"ANASTASIA","19","=87"
"CLAIRE","19","=87"
"ELIZA","19","=87"
"MARGOT","19","=87"
"PHOEBE","19","=87"
"HARLOW","18","=94"
"PIPER","18","=94"
"REMI","18","=94"
"AMALIA","17","=97"
"CLARA","17","=97"
"EDEN","17","=97"
"HALLIE","17","=97"
