Given Name,Amount,Position
"ISLA","112","1"
"CHARLOTTE","104","2"
"OLIVIA","86","3"
"AVA","77","4"
"IVY","73","5"
"AMELIA","67","=6"
"GRACE","67","=6"
"HAZEL","67","=6"
"HARPER","64","=9"
"MIA","64","=9"
"LILY","61","11"
"ELLA","60","12"
"EVELYN","56","=13"
"EVIE","56","=13"
"MATILDA","56","=13"
"ISABELLA","55","=16"
"WILLOW","55","=16"
"DAISY","54","18"
"MILA","52","=19"
"VIOLET","52","=19"
"LAYLA","50","=21"
"SIENNA","50","=21"
"ELSIE","49","=23"
"MILLIE","49","=23"
"ELLIE","48","=25"
"SOPHIE","48","=25"
"MAEVE","44","27"
"ARIA","42","=28"
"LUCY","42","=28"
"RUBY","42","=28"
"SOPHIA","42","=28"
"PENELOPE","40","32"
"AYLA","39","=33"
"CHLOE","39","=33"
"FREYA","39","=33"
"SOFIA","38","=36"
"ZOE","38","=36"
"ELEANOR","37","=38"
"FLORENCE","37","=38"
"EMILIA","36","40"
"AUDREY","34","=41"
"HANNAH","34","=41"
"MARGOT","34","=41"
"FRANKIE","33","=44"
"ZARA","33","=44"
"GEORGIA","32","=46"
"POPPY","32","=46"
"BILLIE","31","=48"
"LUNA","31","=48"
"SADIE","31","=48"
"SCARLETT","31","=48"
"ALICE","30","=52"
"HARRIET","30","=52"
"ISABELLE","30","=52"
"ROSIE","30","=52"
"STELLA","29","56"
"AURORA","28","=57"
"EMILY","28","=57"
"MAGGIE","28","=57"
"LOTTIE","27","=60"
"PIPPA","27","=60"
"SUMMER","27","=60"
"ADELINE","26","=63"
"DELILAH","26","=63"
"PHOEBE","26","=63"
"MAISIE","25","=66"
"OLIVE","25","=66"
"HALLIE","24","=68"
"MACKENZIE","24","=68"
"REMI","23","70"
"ELIANA","22","=71"
"ELIZA","22","=71"
"EVA","22","=71"
"MAYA","22","=71"
"ABIGAIL","21","=75"
"AUBREY","21","=75"
"ELOISE","21","=75"
"LOLA","21","=75"
"MABEL","21","=75"
"NINA","21","=75"
"PEYTON","21","=75"
"IMOGEN","19","=82"
"LILAH","19","=82"
"EMMA","18","=84"
"LARA","18","=84"
"EDEN","17","=86"
"ESTHER","17","=86"
"GRACIE","17","=86"
"PIPER","17","=86"
"RILEY","17","=86"
"SAVANNAH","17","=86"
"ANNABELLE","16","=92"
"HARLOW","16","=92"
"LYLA","16","=92"
"MADELINE","16","=92"
"BROOKLYN","15","=96"
"CALLIE","15","=96"
"GIA","15","=96"
"JASMINE","15","=96"
"NORA","15","=96"
