Given Name,Amount,Position
"CHARLOTTE","124","1"
"AMELIA","111","2"
"OLIVIA","97","3"
"AVA","96","4"
"SCARLETT","93","5"
"SOPHIE","92","6"
"CHLOE","89","=7"
"MIA","89","=7"
"EMILY","81","9"
"GRACE","80","10"
"RUBY","78","11"
"IVY","77","12"
"ELLA","75","13"
"EVIE","70","14"
"ZOE","68","15"
"HARPER","65","=16"
"ISABELLA","65","=16"
"LUCY","65","=16"
"EMMA","64","19"
"ISLA","62","20"
"ZARA","59","21"
"HANNAH","58","22"
"SIENNA","56","23"
"MATILDA","54","24"
"VIOLET","51","25"
"EVA","50","=26"
"EVELYN","50","=26"
"ISABELLE","50","=26"
"LAYLA","50","=26"
"SOPHIA","50","=26"
"GEORGIA","49","31"
"LILY","48","32"
"ABIGAIL","46","33"
"WILLOW","45","34"
"SOFIA","42","35"
"ELLIE","40","36"
"ARIA","38","=37"
"MADDISON","38","=37"
"MILA","37","39"
"IMOGEN","36","=40"
"MAYA","36","=40"
"ANNABELLE","35","=42"
"JASMINE","35","=42"
"PIPER","35","=42"
"SAVANNAH","35","=42"
"ALEXIS","34","=46"
"MADISON","34","=46"
"ALICE","33","48"
"HOLLY","32","=49"
"LILLY","32","=49"
"PAIGE","31","51"
"HAZEL","30","52"
"HARRIET","28","53"
"ARIANA","27","=54"
"PEYTON","27","=54"
"ELOISE","26","=56"
"POPPY","26","=56"
"STELLA","26","=56"
"SUMMER","26","=56"
"AUDREY","25","=60"
"MACKENZIE","25","=60"
"PHOEBE","25","=60"
"CLAIRE","24","=63"
"ELEANOR","24","=63"
"MADELINE","24","=63"
"HAYLEY","23","=66"
"JESSICA","23","=66"
"MOLLY","23","=66"
"ANNA","22","=69"
"ISABEL","22","=69"
"LYLA","22","=69"
"MAGGIE","22","=69"
"ADDISON","21","=73"
"BILLIE","21","=73"
"EMILIA","21","=73"
"LILAH","21","=73"
"ALYSSA","20","=77"
"ASHA","20","=77"
"AYLA","20","=77"
"CLARA","20","=77"
"EDEN","20","=77"
"ELIZA","20","=77"
"ELIZABETH","20","=77"
"ROSE","19","84"
"AMBER","18","=85"
"AURORA","18","=85"
"ELSIE","18","=85"
"LACEY","18","=85"
"LARA","18","=85"
"ANASTASIA","17","=90"
"CHELSEA","17","=90"
"INDIANA","17","=90"
"KAYLEE","17","=90"
"LOLA","17","=90"
"MARLEY","17","=90"
"OLIVE","17","=90"
"SADIE","17","=90"
"SARAH","17","=90"
"AMELIE","16","=99"
"BROOKLYN","16","=99"
"DAKOTA","16","=99"
"EVE","16","=99"
"GABRIELLA","16","=99"
"MACY","16","=99"
"MIKAYLA","16","=99"
"ABBY","15","=106"
"BONNIE","15","=106"
"HAILEY","15","=106"
"HALLE","15","=106"
"MADELEINE","15","=106"
"HEIDI","14","=111"
"LEAH","14","=111"
"LEXI","14","=111"
"LILA","14","=111"
"PENELOPE","14","=111"
"PIPPA","14","=111"
"RACHEL","14","=111"
"SARA","14","=111"
"AALIYAH","13","=119"
"APRIL","13","=119"
"BELLA","13","=119"
"BETHANY","13","=119"
"DAISY","13","=119"
"ELISE","13","=119"
"FRANKIE","13","=119"
"FREYA","13","=119"
"INDI","13","=119"
"INDIE","13","=119"
"KAYLA","13","=119"
"MARLEE","13","=119"
"MILLA","13","=119"
"NEVAEH","13","=119"
"VICTORIA","13","=119"
"ADA","12","=134"
"ANNABEL","12","=134"
"CHARLIE","12","=134"
"DELILAH","12","=134"
"ESTELLE","12","=134"
"ESTHER","12","=134"
"MADELYN","12","=134"
"QUINN","12","=134"
"SKYLA","12","=134"
"TAHLIA","12","=134"
"THEA","12","=134"
"ALANA","11","=145"
"AMITY","11","=145"
"CAITLYN","11","=145"
"MARIA","11","=145"
"MARYAM","11","=145"
"MILLIE","11","=145"
"NATALIE","11","=145"
"SAMANTHA","11","=145"
"SKYE","11","=145"
"TIANA","11","=145"
"TILLY","11","=145"
"ZOEY","11","=145"
"ADELAIDE","10","=157"
"AISHA","10","=157"
"EBONY","10","=157"
"EDITH","10","=157"
"EVERLY","10","=157"
"FLORENCE","10","=157"
"ISOBEL","10","=157"
"KIARA","10","=157"
"LILLIAN","10","=157"
"LYLAH","10","=157"
"MACEY","10","=157"
"MICHAELA","10","=157"
"RILEY","10","=157"
"SAGE","10","=157"
"TAYLOR","10","=157"
"AUBREY","9","=172"
"CHARLI","9","=172"
"DANIELLA","9","=172"
"FRANCESCA","9","=172"
"GRACIE","9","=172"
"HARLOW","9","=172"
"MARGOT","9","=172"
"MARY","9","=172"
"MELODY","9","=172"
"SKYLAR","9","=172"
"ADELINE","8","=182"
"ALESSIA","8","=182"
"ALISHA","8","=182"
"ALIYAH","8","=182"
"AMY","8","=182"
"ANGELA","8","=182"
"ARABELLA","8","=182"
"DARCY","8","=182"
"EMERSON","8","=182"
"HOPE","8","=182"
"INDIGO","8","=182"
"JADE","8","=182"
"JOSEPHINE","8","=182"
"KARA","8","=182"
"LAURA","8","=182"
"MABEL","8","=182"
"MAE","8","=182"
"MICHELLE","8","=182"
"MIRANDA","8","=182"
"MYA","8","=182"
"NATALIA","8","=182"
"PAYTON","8","=182"
"PENNY","8","=182"
"ROSIE","8","=182"
"RUBI","8","=182"
"TARA","8","=182"
"VALENTINA","8","=182"
"ZAHRA","8","=182"
"ADELE","7","=210"
"ALEXA","7","=210"
"ANNIE","7","=210"
"ARIANNA","7","=210"
"ARYA","7","=210"
"ASTRID","7","=210"
"AUBREE","7","=210"
"BRIDGET","7","=210"
"CHARLIZE","7","=210"
"CLAUDIA","7","=210"
"FELICITY","7","=210"
"GENEVIEVE","7","=210"
"GEORGIE","7","=210"
"JORDAN","7","=210"
"KAITLYN","7","=210"
"KEIRA","7","=210"
"LANA","7","=210"
"LILIANA","7","=210"
"LUCIA","7","=210"
"MADDIE","7","=210"
"MAKAYLA","7","=210"
"MARIAH","7","=210"
"MILANA","7","=210"
"NADIA","7","=210"
"NINA","7","=210"
"RIVER","7","=210"
"SAPPHIRE","7","=210"
"SEERAT","7","=210"
"SKYLAH","7","=210"
"TESS","7","=210"
"ANIKA","6","=240"
"ANYA","6","=240"
"ASHLEIGH","6","=240"
"BAILEY","6","=240"
"CAITLIN","6","=240"
"CASSANDRA","6","=240"
"CHARLEE","6","=240"
"DAPHNE","6","=240"
"ELIANA","6","=240"
"ELSA","6","=240"
"FATIMA","6","=240"
"GEMMA","6","=240"
"GEORGINA","6","=240"
"HARMONY","6","=240"
"INDIA","6","=240"
"IZABELLA","6","=240"
"JENNIFER","6","=240"
"KATIE","6","=240"
"KENZIE","6","=240"
"LIANA","6","=240"
"LILLIANA","6","=240"
"LOTTIE","6","=240"
"LUNA","6","=240"
"LYDIA","6","=240"
"MAHALIA","6","=240"
"MAISIE","6","=240"
"MELISSA","6","=240"
"MORGAN","6","=240"
"MYRA","6","=240"
"RIYA","6","=240"
"SIERRA","6","=240"
"STEPHANIE","6","=240"
"TALIA","6","=240"
"TAYA","6","=240"
"TAYLA","6","=240"
"VIVIENNE","6","=240"
"WILLA","6","=240"
"ALEXANDRA","5","=277"
"ALICIA","5","=277"
"ALISA","5","=277"
"ANA","5","=277"
"ANNABELLA","5","=277"
"ANNALISE","5","=277"
"ANNIKA","5","=277"
"ARIELLA","5","=277"
"ASHER","5","=277"
"ATHENA","5","=277"
"BEATRICE","5","=277"
"BIANCA","5","=277"
"CADENCE","5","=277"
