Given Name,Amount,Position
"OLIVER","155","1"
"HENRY","112","2"
"LEO","109","3"
"NOAH","92","4"
"THEODORE","87","5"
"LUCA","85","6"
"ELIJAH","84","7"
"CHARLIE","81","8"
"WILLIAM","76","9"
"ARCHIE","73","=10"
"JACK","73","=10"
"HARVEY","70","=12"
"HUDSON","70","=12"
"LEVI","66","14"
"OSCAR","63","15"
"LUCAS","60","16"
"SEBASTIAN","56","17"
"ARTHUR","55","=18"
"HARRISON","55","=18"
"ARCHER","54","20"
"ARLO","53","=21"
"HARRY","53","=21"
"HUGO","53","=21"
"GEORGE","50","=24"
"LIAM","50","=24"
"MAX","50","=24"
"JAMES","49","=27"
"MASON","49","=27"
"LOUIS","48","=29"
"THOMAS","48","=29"
"ALEXANDER","46","=31"
"EDWARD","46","=31"
"XAVIER","44","33"
"FINN","43","34"
"ETHAN","42","35"
"DARCY","41","=36"
"JASPER","41","=36"
"AUSTIN","38","=38"
"RILEY","38","=38"
"THEO","38","=38"
"SONNY","37","41"
"BODHI","36","=42"
"KAI","36","=42"
"ARI","34","=44"
"LACHLAN","34","=44"
"BILLY","33","=46"
"MILES","33","=46"
"COOPER","32","=48"
"ELI","32","=48"
"HUNTER","32","=48"
"SAMUEL","32","=48"
"EZRA","31","=52"
"HAMISH","31","=52"
"LINCOLN","31","=52"
"BENJAMIN","30","=55"
"GRAYSON","30","=55"
"LOGAN","30","=55"
"LOUIE","30","=55"
"PATRICK","30","=55"
"JACKSON","29","=60"
"JORDAN","29","=60"
"PARKER","29","=60"
"ALFIE","28","63"
"ASHER","27","=64"
"CARTER","27","=64"
"LUKA","27","=64"
"MATTEO","27","=64"
"FELIX","26","=68"
"ISAAC","26","=68"
"MUHAMMAD","26","=68"
"ANGUS","25","=71"
"AUGUST","25","=71"
"OAKLEY","25","=71"
"RYAN","25","=71"
"FLETCHER","23","=75"
"LENNY","23","=75"
"RORY","23","=75"
"WYATT","23","=75"
"JAXON","22","=79"
"MYLES","22","=79"
"OWEN","22","=79"
"FINLEY","21","=82"
"JAYDEN","21","=82"
"JUDE","21","=82"
"MARCUS","21","=82"
"TATE","21","=82"
"BEAU","20","=87"
"CHASE","20","=87"
"FLYNN","20","=87"
"OLLIE","20","=87"
"SPENCER","20","=87"
"CONNOR","19","=92"
"JACOB","19","=92"
"OTIS","19","=92"
"RIVER","19","=92"
"RYDER","19","=92"
"ALFRED","18","=97"
"ELIAS","18","=97"
"GABRIEL","18","=97"
"HUXLEY","18","=97"
