Given Name,Amount,Position
"OLIVER","195","1"
"NOAH","132","2"
"HENRY","126","3"
"CHARLIE","119","4"
"LEO","98","5"
"JACK","90","6"
"WILLIAM","85","7"
"THOMAS","81","8"
"HUDSON","78","9"
"HARRY","74","=10"
"JAMES","74","=10"
"LEVI","74","=10"
"LUCAS","74","=10"
"LUCA","73","=14"
"OSCAR","73","=14"
"ARCHER","72","16"
"SEBASTIAN","69","17"
"ARCHIE","68","=18"
"HUGO","68","=18"
"THEODORE","67","20"
"HARVEY","66","21"
"ELIJAH","65","22"
"HARRISON","62","23"
"MAX","59","24"
"LIAM","57","25"
"GEORGE","55","26"
"ALEXANDER","54","=27"
"ARTHUR","54","=27"
"MASON","53","29"
"HUNTER","52","30"
"SONNY","49","31"
"ARLO","48","=32"
"EDWARD","48","=32"
"PATRICK","48","=32"
"XAVIER","48","=32"
"LINCOLN","47","36"
"BENJAMIN","44","=37"
"COOPER","44","=37"
"JORDAN","44","=37"
"LACHLAN","44","=37"
"LOGAN","44","=37"
"LOUIS","44","=37"
"RILEY","44","=37"
"SAMUEL","41","44"
"ELI","40","45"
"ETHAN","38","46"
"JASPER","37","47"
"CONNOR","36","=48"
"JACKSON","36","=48"
"KAI","36","=48"
"FLETCHER","35","=51"
"ISAAC","35","=51"
"ANGUS","34","=53"
"BODHI","34","=53"
"FINN","34","=53"
"FLYNN","34","=53"
"HAMISH","34","=53"
"JACOB","34","=53"
"DANIEL","33","=59"
"JAXON","33","=59"
"PARKER","33","=59"
"BEAU","32","62"
"AUSTIN","31","=63"
"JUDE","31","=63"
"MILES","31","=63"
"RYAN","31","=63"
"ARI","30","=67"
"DARCY","30","=67"
"EZRA","30","=67"
"LUKA","30","=67"
"SPENCER","30","=67"
"RIVER","28","72"
"CALEB","27","=73"
"CARTER","27","=73"
"OLLIE","27","=73"
"ASHER","26","=76"
"MICHAEL","26","=76"
"JOSEPH","25","=78"
"OWEN","25","=78"
"PHOENIX","25","=78"
"AIDEN","24","=81"
"ALFIE","24","=81"
"ASHTON","24","=81"
"GRAYSON","24","=81"
"JAYDEN","24","=81"
"OAKLEY","24","=81"
"RORY","24","=81"
"RYDER","24","=81"
"CHARLES","23","=89"
"HENLEY","23","=89"
"WYATT","23","=89"
"BLAKE","22","=92"
"DECLAN","22","=92"
"LUKE","22","=92"
"MYLES","22","=92"
"JOSHUA","21","=96"
"JULIAN","21","=96"
"ALBERT","20","=98"
"AXEL","20","=98"
"ELLIOT","20","=98"
