Given Name,Amount,Position
"CHARLOTTE","119","1"
"AMELIA","114","2"
"AVA","100","3"
"MIA","97","4"
"ISLA","92","5"
"GRACE","88","=6"
"OLIVIA","88","=6"
"HARPER","81","8"
"WILLOW","78","9"
"SOPHIE","73","10"
"RUBY","72","=11"
"ZOE","72","=11"
"EVIE","69","13"
"ARIA","67","=14"
"CHLOE","67","=14"
"ELLA","65","=16"
"IVY","65","=16"
"EMILY","59","18"
"MATILDA","56","19"
"HANNAH","55","20"
"LUCY","53","21"
"ALICE","50","=22"
"AUDREY","50","=22"
"LILY","50","=22"
"SCARLETT","50","=22"
"LAYLA","49","=26"
"SOPHIA","49","=26"
"VIOLET","49","=26"
"MILA","48","29"
"ZARA","47","30"
"EVELYN","46","31"
"FLORENCE","45","32"
"GEORGIA","44","=33"
"SIENNA","44","=33"
"DAISY","42","35"
"EMMA","40","36"
"EVA","39","=37"
"ISABELLA","39","=37"
"ABIGAIL","38","39"
"ELSIE","36","=40"
"HARRIET","36","=40"
"ISABELLE","36","=40"
"MACKENZIE","36","=40"
"ELLIE","34","44"
"HAZEL","33","45"
"IMOGEN","32","46"
"POPPY","30","=47"
"SAVANNAH","30","=47"
"PENELOPE","29","49"
"ANNABELLE","28","=50"
"MADDISON","28","=50"
"ARIANA","27","=52"
"AYLA","27","=52"
"PEYTON","27","=52"
"MADISON","26","55"
"BILLIE","25","=56"
"FRANKIE","25","=56"
"PIPER","25","=56"
"PIPPA","25","=56"
"QUINN","25","=56"
"ADDISON","24","=61"
"INDIANA","24","=61"
"PAIGE","24","=61"
"SADIE","24","=61"
"AURORA","23","=65"
"EMILIA","23","=65"
"HARLOW","23","=65"
"HAYLEY","23","=65"
"STELLA","23","=65"
"SUMMER","23","=65"
"ELEANOR","22","=71"
"HOLLY","22","=71"
"LARA","22","=71"
"LOLA","22","=71"
"LILLY","21","75"
"DELILAH","20","=76"
"ELENA","20","=76"
"ELOISE","20","=76"
"ANNA","19","=79"
"BROOKLYN","19","=79"
"CHARLIE","19","=79"
"CLAIRE","19","=79"
"ESTHER","19","=79"
"MAYA","19","=79"
"SOFIA","19","=79"
"ADELINE","18","=86"
"ALEXIS","18","=86"
"AMBER","18","=86"
"ELIZA","18","=86"
"ALLEGRA","17","=90"
"EDEN","17","=90"
"ELISE","17","=90"
"FREYA","17","=90"
"OLIVE","17","=90"
"ELIZABETH","16","=95"
"HEIDI","16","=95"
"JASMINE","16","=95"
"LUNA","16","=95"
"MAGGIE","16","=95"
"MOLLY","16","=95"
