Given Name,Amount,Position
"OLIVER","173","1"
"JACK","132","2"
"WILLIAM","117","3"
"HARRISON","115","4"
"CHARLIE","105","5"
"HENRY","101","=6"
"NOAH","101","=6"
"LEO","89","8"
"LUCAS","83","9"
"HARRY","82","10"
"MASON","80","11"
"LIAM","79","12"
"ARCHER","77","=13"
"LEVI","77","=13"
"HUNTER","76","15"
"THOMAS","69","16"
"JAMES","68","17"
"ELIJAH","67","18"
"MAX","66","19"
"ALEXANDER","65","=20"
"LOGAN","65","=20"
"ETHAN","63","22"
"ARCHIE","62","23"
"ARLO","61","=24"
"EDWARD","61","=24"
"HARVEY","61","=24"
"HUDSON","61","=24"
"SEBASTIAN","58","28"
"JACKSON","57","=29"
"XAVIER","57","=29"
"CONNOR","56","31"
"OSCAR","54","=32"
"RILEY","54","=32"
"JACOB","53","34"
"FINN","50","=35"
"LACHLAN","50","=35"
"ISAAC","49","=37"
"PATRICK","49","=37"
"DARCY","47","=39"
"SAMUEL","47","=39"
"JOSHUA","46","41"
"GEORGE","43","42"
"AUSTIN","42","=43"
"LINCOLN","42","=43"
"LOUIS","41","=45"
"RYDER","41","=45"
"HAMISH","40","=47"
"HUGO","40","=47"
"JAXON","40","=47"
"ANGUS","39","=50"
"JASPER","39","=50"
"ASHTON","38","=52"
"COOPER","38","=52"
"FLYNN","38","=52"
"LUCA","38","=52"
"BENJAMIN","37","56"
"JORDAN","36","=57"
"THEODORE","36","=57"
"RYAN","35","59"
"OWEN","34","=60"
"TYLER","34","=60"
"DANIEL","33","62"
"AIDEN","30","=63"
"BODHI","30","=63"
"ELI","30","=63"
"KAI","30","=63"
"JAYDEN","29","=67"
"SPENCER","29","=67"
"CALEB","27","=69"
"OLLIE","27","=69"
"CARTER","26","=71"
"ELLIOT","26","=71"
"MICHAEL","26","=71"
"FELIX","25","=74"
"HUGH","25","=74"
"RORY","25","=74"
"SONNY","25","=74"
"ARI","24","=78"
"PARKER","24","=78"
"ZACHARY","24","=78"
"ASHER","23","81"
"ARTHUR","22","=82"
"JAKE","22","=82"
"MATTHEW","22","=82"
"TOBY","22","=82"
"ALFIE","21","=86"
"ALI","21","=86"
"BLAKE","21","=86"
"FLETCHER","21","=86"
"HARLEY","21","=86"
"PHOENIX","21","=86"
"BRAXTON","20","=92"
"LEWIS","20","=92"
"NICHOLAS","20","=92"
"ALEX","19","=95"
"BEAU","19","=95"
"CHARLES","19","=95"
"EZRA","19","=95"
"JESSE","19","=95"
"WYATT","19","=95"
