Given Name,Amount,Position
"OLIVER","147","1"
"HENRY","116","2"
"NOAH","107","3"
"LEO","106","=4"
"WILLIAM","106","=4"
"CHARLIE","101","6"
"JACK","85","7"
"LUCAS","80","8"
"JAMES","78","9"
"ELIJAH","77","10"
"ARCHIE","73","11"
"ARCHER","72","12"
"LIAM","71","13"
"HARRISON","70","=14"
"HUNTER","70","=14"
"LEVI","69","=16"
"OSCAR","69","=16"
"THOMAS","69","=16"
"HUDSON","64","19"
"HARVEY","62","20"
"HARRY","59","21"
"HUGO","56","=22"
"SEBASTIAN","56","=22"
"LUCA","54","=24"
"MAX","54","=24"
"THEODORE","54","=24"
"ETHAN","53","27"
"LACHLAN","52","28"
"ARTHUR","50","29"
"ALEXANDER","49","=30"
"GEORGE","49","=30"
"ARLO","48","=32"
"ISAAC","48","=32"
"JACKSON","47","=34"
"LINCOLN","47","=34"
"AUSTIN","46","=36"
"LOGAN","46","=36"
"EDWARD","45","=38"
"JACOB","45","=38"
"RILEY","45","=38"
"SAMUEL","45","=38"
"COOPER","43","=42"
"LOUIS","43","=42"
"MASON","43","=42"
"RORY","42","45"
"SPENCER","38","46"
"ALFIE","37","=47"
"DARCY","37","=47"
"FINN","37","=47"
"PATRICK","37","=47"
"BENJAMIN","34","51"
"ANGUS","33","=52"
"FLYNN","33","=52"
"JUDE","33","=52"
"RYAN","33","=52"
"CONNOR","32","=56"
"PARKER","32","=56"
"JORDAN","31","=58"
"OWEN","31","=58"
"XAVIER","31","=58"
"JASPER","30","=61"
"JOSHUA","30","=61"
"ASHER","29","=63"
"ELI","29","=63"
"FELIX","29","=63"
"BODHI","28","=66"
"HAMISH","28","=66"
"CARTER","27","=68"
"DANIEL","27","=68"
"ELLIOT","27","=68"
"SONNY","27","=68"
"ZACHARY","27","=68"
"JOSEPH","26","73"
"JAXON","25","=74"
"KAI","25","=74"
"NATE","25","=74"
"RIVER","25","=74"
"CALEB","24","=78"
"FINLEY","24","=78"
"WYATT","24","=78"
"ARI","23","=81"
"BLAKE","23","=81"
"LUKA","23","=81"
"MICHAEL","23","=81"
"AIDEN","22","=85"
"BEAU","22","=85"
"CHARLES","22","=85"
"JAYDEN","22","=85"
"RYDER","22","=85"
"BRODIE","21","=90"
"FLETCHER","21","=90"
"ALFRED","20","=92"
"MARCUS","20","=92"
"GABRIEL","19","=94"
"LEWIS","19","=94"
"ALBY","18","=96"
"AXEL","18","=96"
"BILLY","18","=96"
"CHASE","18","=96"
"LENNY","18","=96"
