Given Name,Amount,Position
"ISLA","111","1"
"CHARLOTTE","110","2"
"AMELIA","89","3"
"WILLOW","84","4"
"GRACE","82","5"
"OLIVIA","81","6"
"LILY","75","7"
"ELLA","72","=8"
"HARPER","72","=8"
"MATILDA","72","=8"
"MIA","72","=8"
"AVA","69","12"
"HAZEL","60","13"
"DAISY","58","14"
"IVY","56","=15"
"RUBY","56","=15"
"SIENNA","56","=15"
"CHLOE","54","18"
"FLORENCE","53","19"
"ELSIE","51","=20"
"EVIE","51","=20"
"SOPHIA","51","=20"
"SOPHIE","50","23"
"ZARA","49","=24"
"ZOE","49","=24"
"SADIE","48","26"
"ISABELLA","46","27"
"AYLA","45","=28"
"MILA","45","=28"
"SCARLETT","45","=28"
"EVELYN","44","31"
"GEORGIA","43","=32"
"VIOLET","43","=32"
"ARIA","42","34"
"SOFIA","41","35"
"AURORA","40","=36"
"LUCY","40","=36"
"POPPY","40","=36"
"ELLIE","39","=39"
"MAYA","39","=39"
"LAYLA","37","=41"
"LUNA","37","=41"
"ELEANOR","36","=43"
"EMILY","36","=43"
"MAEVE","36","=43"
"AUDREY","35","=46"
"HARRIET","35","=46"
"EMMA","34","=48"
"HANNAH","34","=48"
"PENELOPE","34","=48"
"ALICE","33","=51"
"DELILAH","33","=51"
"EVA","30","=53"
"FRANKIE","30","=53"
"FREYA","30","=53"
"HARLOW","30","=53"
"ELOISE","29","=57"
"ISABELLE","29","=57"
"LOLA","29","=57"
"PIPPA","29","=57"
"ADDISON","28","=61"
"BILLIE","28","=61"
"QUINN","28","=61"
"SAVANNAH","28","=61"
"BONNIE","27","=65"
"MACKENZIE","27","=65"
"MILLIE","27","=65"
"SUMMER","27","=65"
"AUBREY","25","=69"
"CLARA","25","=69"
"LARA","25","=69"
"NORA","25","=69"
"PEYTON","25","=69"
"PHOEBE","25","=69"
"MAGGIE","24","75"
"IMOGEN","23","=76"
"REMI","23","=76"
"ANNABELLE","22","=78"
"ARIANA","22","=78"
"GRACIE","22","=78"
"MABEL","22","=78"
"ROSIE","22","=78"
"ABIGAIL","21","=83"
"HALLIE","21","=83"
"MAISIE","21","=83"
"OLIVE","20","86"
"ADELINE","19","=87"
"ELIZA","19","=87"
"ZOEY","19","=87"
"ELIANA","18","=90"
"LILLY","18","=90"
"ROSE","18","=90"
"STELLA","18","=90"
"LILAH","17","=94"
"MOLLY","17","=94"
"RYLEE","17","=94"
"CHARLIE","16","=97"
"EDEN","16","=97"
"HAYLEY","16","=97"
"PIPER","16","=97"
