First Name,Amount,Position
"BOBBI","6","=239"
"BROOKLYN","6","=239"
"CECILIA","6","=239"
"CHELSEA","6","=239"
"CHRISTINA","6","=239"
"DARCIE","6","=239"
"EVANGELINE","6","=239"
"FLEUR","6","=239"
"HADLEY","6","=239"
"HAILEY","6","=239"
"INAYAT","6","=239"
"JOSEPHINE","6","=239"
"KEHLANI","6","=239"
"KENNEDY","6","=239"
"LEILANI","6","=239"
"LENA","6","=239"
"LILLIAN","6","=239"
"LYDIA","6","=239"
"MACEY","6","=239"
"MACY","6","=239"
"MAGNOLIA","6","=239"
"MEHAR","6","=239"
"MELODY","6","=239"
"MILEY","6","=239"
"MYRA","6","=239"
"NAOMI","6","=239"
"NATALIE","6","=239"
"NELLIE","6","=239"
"NORAH","6","=239"
"PEARL","6","=239"
"SUNNY","6","=239"
"SYLVIA","6","=239"
"VAANI","6","=239"
"VERA","6","=239"
"WINIFRED","6","=239"
"WINTER","6","=239"
"ZAINAB","6","=239"
"AADHYA","5","=288"
"AARNA","5","=288"
"ADALINE","5","=288"
"AISHA","5","=288"
"AJOONI","5","=288"
"ALAIA","5","=288"
"ALASKA","5","=288"
"ALESSANDRA","5","=288"
"ANGEL","5","=288"
"ANNALISE","5","=288"
"ANNIKA","5","=288"
"ANYA","5","=288"
"AZALEA","5","=288"
"BRIANNA","5","=288"
"DAHLIA","5","=288"
"EDITH","5","=288"
"ELAINA","5","=288"
"ELARA","5","=288"
"ELISA","5","=288"
"EVERLEIGH","5","=288"
"FAITH","5","=288"
"FAYE","5","=288"
"GEMMA","5","=288"
"GEORGINA","5","=288"
"HAVANA","5","=288"
"HELENA","5","=288"
"JESSICA","5","=288"
"JORDAN","5","=288"
"KALANI","5","=288"
"KAYLA","5","=288"
"KAYLEE","5","=288"
"LANA","5","=288"
"LILIANA","5","=288"
"LOUISE","5","=288"
"MACIE","5","=288"
"MARNIE","5","=288"
"MARY","5","=288"
"MILAH","5","=288"
"MILANA","5","=288"
"MILLER","5","=288"
"OCEAN","5","=288"
"OPAL","5","=288"
"PIA","5","=288"
"REHMAT","5","=288"
"SELINA","5","=288"
"SIA","5","=288"
"SYLVIE","5","=288"
"WILLA","5","=288"
"ZAYNAB","5","=288"
"AAIRA","4","=337"
"AAYRA","4","=337"
"ADELA","4","=337"
"AIDA","4","=337"
"ALENA","4","=337"
"ALLEGRA","4","=337"
"ALORA","4","=337"
"AMARNI","4","=337"
"ANAHAT","4","=337"
"ANIKA","4","=337"
"ANTONIA","4","=337"
"ARIAH","4","=337"
"ARIEL","4","=337"
"ARLA","4","=337"
"ARZOIE","4","=337"
"ARZOYI","4","=337"
"ASHA","4","=337"
"ASRA","4","=337"
"AYESHA","4","=337"
"BELLE","4","=337"
"BETHANY","4","=337"
"BOWIE","4","=337"
"CAMILLE","4","=337"
"CHIARA","4","=337"
"CLAUDIA","4","=337"
"DELLA","4","=337"
"DESTINY","4","=337"
"DULCIE","4","=337"
"EBONY","4","=337"
"ELAHI","4","=337"
"ELKIE","4","=337"
"ELYSE","4","=337"
"EMERSON","4","=337"
"FERN","4","=337"
"FRANCES","4","=337"
"GENEVIEVE","4","=337"
"GIGI","4","=337"
"GRETA","4","=337"
"HANA","4","=337"
"HENLEY","4","=337"
"INAYA","4","=337"
"INDIANNA","4","=337"
"INDIGO","4","=337"
"ISOBEL","4","=337"
"ISRA","4","=337"
"IYLA","4","=337"
"IZABELLA","4","=337"
"JUNE","4","=337"
"KEIRA","4","=337"
"KELSEY","4","=337"
"KIANA","4","=337"
"KIRA","4","=337"
"LANI","4","=337"
"LEXI","4","=337"
"LILIAN","4","=337"
"LINDA","4","=337"
"LISA","4","=337"
"LOUELLA","4","=337"
"LUCIE","4","=337"
"LULU","4","=337"
"LYRA","4","=337"
"MADELEINE","4","=337"
"MADELYN","4","=337"
"MAE","4","=337"
"MAGDALENA","4","=337"
"MAHLI","4","=337"
"MARLEE","4","=337"
"MARLI","4","=337"
"MARLIE","4","=337"
"MILLA","4","=337"
"MONTANA","4","=337"
"MYAH","4","=337"
"NOLA","4","=337"
"NYLA","4","=337"
"OAKLEIGH","4","=337"
"ODETTE","4","=337"
"OLYMPIA","4","=337"
"RAVEN","4","=337"
"RHYLEE","4","=337"
"ROSALIE","4","=337"
"RUBANI","4","=337"
"RUTH","4","=337"
"SABRINA","4","=337"
"SAIGE","4","=337"
"SAMANTHA","4","=337"
"SCOUT","4","=337"
"SERENITY","4","=337"
"SHYLAH","4","=337"
"SYEDA","4","=337"
"TARA","4","=337"
"TERESA","4","=337"
"VIENNA","4","=337"
"VIVIAN","4","=337"
"ZAHLI","4","=337"
"ZALIA","4","=337"
"AANYA","3","=432"
"AARVI","3","=432"
"AASHVI","3","=432"
"AGNES","3","=432"
"ALARA","3","=432"
"ALAYA","3","=432"
"ALAYAH","3","=432"
"ALEENA","3","=432"
"ALEXIA","3","=432"
"ALIANA","3","=432"
"ALIZA","3","=432"
"ALLY","3","=432"
"AMAL","3","=432"
"AMALI","3","=432"
"AMIYAH","3","=432"
"ANA","3","=432"
"ANAND","3","=432"
"ANGELA","3","=432"
"ANGELICA","3","=432"
"ANGELINA","3","=432"
"ANIA","3","=432"
"ARIKA","3","=432"
"ARISA","3","=432"
"ARIYA","3","=432"
"ARZOI","3","=432"
"ASHLYN","3","=432"
"ASPEN","3","=432"
"AUGUST","3","=432"
"AVYANNA","3","=432"
"AYA","3","=432"
"BAANI","3","=432"
"BANKSIA","3","=432"
"BIANCA","3","=432"
"BRIDIE","3","=432"
"CAITLYN","3","=432"
"CALI","3","=432"
"CAMILA","3","=432"
"CAPRI","3","=432"
"CATHERINE","3","=432"
"CELESTE","3","=432"
"CIARA","3","=432"
"CLOVER","3","=432"
"CONSTANCE","3","=432"
"DARCY","3","=432"
"DIANA","3","=432"
"DOLLY","3","=432"
"DOROTHY","3","=432"
"EADIE","3","=432"
"EILEEN","3","=432"
"ELAAHI","3","=432"
"ELEANORE","3","=432"
"ELENI","3","=432"
"ELINA","3","=432"
"ELLIDY","3","=432"
"ELOUISE","3","=432"
"ELOWYN","3","=432"
"EMILIE","3","=432"
"EMMELINE","3","=432"
"EMMIE","3","=432"
"ENA","3","=432"
"ESTELLA","3","=432"
"ESTHER","3","=432"
"EVERLEY","3","=432"
"FELICITY","3","=432"
"FREDA","3","=432"
"GIULIANA","3","=432"
"GWEN","3","=432"
"HADLEE","3","=432"
"HAFSA","3","=432"
"HAISLEY","3","=432"
"HALO","3","=432"
"HARLEY","3","=432"
"HASRAT","3","=432"
"HATTIE","3","=432"
"HELMA","3","=432"
"HIBA","3","=432"
"IYLAH","3","=432"
"JADE","3","=432"
"JAMIE","3","=432"
"JANE","3","=432"
"JAPJI","3","=432"
"JAYLA","3","=432"
"JOANNA","3","=432"
"JOANNE","3","=432"
"JULIA","3","=432"
"KALI","3","=432"
"KARA","3","=432"
"KATE","3","=432"
"KINSLEY","3","=432"
"KORA","3","=432"
"KYLIE","3","=432"
"LAILA","3","=432"
"LEONA","3","=432"
"LIA","3","=432"
"LIANA","3","=432"
"LUCA","3","=432"
"MACI","3","=432"
"MARGARET","3","=432"
"MELISSA","3","=432"
"MILENA","3","=432"
"MILLY","3","=432"
"MINA","3","=432"
"MINH","3","=432"
"MOLLIE","3","=432"
"MORGAN","3","=432"
"NATASHA","3","=432"
"NIA","3","=432"
"NOOR","3","=432"
"ORIANA","3","=432"
"OTTILIE","3","=432"
"PARIS","3","=432"
"PAYTON","3","=432"
"PEGGY","3","=432"
"PRISHA","3","=432"
"PRIYA","3","=432"
"RAYA","3","=432"
"RITA","3","=432"
"ROSA","3","=432"
"RYLIE","3","=432"
"SAANVI","3","=432"
"SAFA","3","=432"
"SAIRA","3","=432"
"SANA","3","=432"
"SAYLOR","3","=432"
"SELENE","3","=432"
"SHILOH","3","=432"
"SIDAK","3","=432"
"SIYA","3","=432"
"SYDNEY","3","=432"
"TALULAH","3","=432"
"TEMPERANCE","3","=432"
"TESSA","3","=432"
"THALIA","3","=432"
"TIANA","3","=432"
"TIANNA","3","=432"
"TINA","3","=432"
"VAMIKA","3","=432"
"VEDA","3","=432"
"VERONICA","3","=432"
"YANA","3","=432"
"ZARIA","3","=432"
"ZARIAH","3","=432"
"ZIGGY","3","=432"
"ZOLA","3","=432"
"AADYA","2","=576"
"AALIYA","2","=576"
"AANAYA","2","=576"
"AANSHI","2","=576"
"AAVYA","2","=576"
