Given Name,Amount,Position
"CHARLOTTE","119","1"
"AVA","112","2"
"OLIVIA","103","3"
"GRACE","93","4"
"AMELIA","86","=5"
"WILLOW","86","=5"
"ISLA","83","7"
"IVY","79","=8"
"SOPHIE","79","=8"
"MIA","69","10"
"RUBY","68","11"
"ELLA","67","12"
"LUCY","66","13"
"HARPER","65","14"
"EVELYN","63","15"
"CHLOE","59","16"
"MATILDA","57","17"
"ELSIE","54","=18"
"EMILY","54","=18"
"LILY","54","=18"
"SOPHIA","53","21"
"ISABELLA","50","22"
"ZOE","49","23"
"MILA","48","=24"
"SCARLETT","48","=24"
"VIOLET","47","26"
"ALICE","46","=27"
"GEORGIA","46","=27"
"EVIE","45","29"
"HAZEL","43","30"
"EVA","42","=31"
"HARRIET","42","=31"
"ARIA","40","33"
"POPPY","39","=34"
"SIENNA","39","=34"
"AUDREY","36","36"
"LAYLA","35","37"
"ELLIE","34","=38"
"EMMA","34","=38"
"HANNAH","34","=38"
"ZARA","34","=38"
"IMOGEN","33","42"
"EMILIA","32","=43"
"FRANKIE","32","=43"
"MILLIE","32","=43"
"AYLA","30","=46"
"FLORENCE","30","=46"
"MACKENZIE","29","48"
"AURORA","28","=49"
"ELEANOR","28","=49"
"ISABELLE","28","=49"
"MAYA","28","=49"
"PENELOPE","28","=49"
"PEYTON","28","=49"
"SOFIA","28","=49"
"BILLIE","27","=56"
"LARA","27","=56"
"DAISY","26","=58"
"LUNA","26","=58"
"ABIGAIL","25","=60"
"ANNABELLE","25","=60"
"FREYA","25","=60"
"MAGGIE","25","=60"
"PHOEBE","25","=60"
"SUMMER","25","=60"
"CLAIRE","24","=66"
"QUINN","24","=66"
"ROSIE","24","=66"
"SADIE","24","=66"
"STELLA","24","=66"
"ELOISE","23","=71"
"JASMINE","23","=71"
"LOLA","23","=71"
"PIPER","23","=71"
"CHARLIE","22","=75"
"MADELINE","22","=75"
"MADISON","22","=75"
"SAVANNAH","22","=75"
"ADELINE","21","=79"
"LILLY","21","=79"
"AMBER","20","=81"
"EVERLY","20","=81"
"OLIVE","20","=81"
"RILEY","20","=81"
"THEA","20","=81"
"ADDISON","19","=86"
"ELIZA","19","=86"
"HALLIE","19","=86"
"PIPPA","19","=86"
"AALIYAH","18","90"
"ANNA","17","=91"
"CHELSEA","17","=91"
"HEIDI","17","=91"
"INDIANA","17","=91"
"LILAH","17","=91"
"LYLA","17","=91"
"PAIGE","17","=91"
"SAGE","17","=91"
"SARAH","17","=91"
"ALEXANDRA","16","100"
