Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Charlotte,384,Oliver,510
Olivia,335,William,438
Ava,305,Noah,360
Amelia,303,Jack,348
Mia,287,Harrison,296
Isla,282,Thomas,289
Harper,244,Hudson,278
Grace,239,Hunter,273
Ivy,232,James,263
Evelyn,231,Henry,259
Ella,229,Lucas,250
Willow,228,Mason,247
Sophie,217,Cooper,240
Chloe,217,Elijah,237
Ruby,211,Lachlan,236
Evie,203,Levi,229
Emily,192,Charlie,215
Aria,186,Ethan,210
Georgia,184,Samuel,207
Lucy,183,Leo,202
Isabella,183,Liam,198
Lily,176,Archer,198
Layla,170,Lincoln,196
Matilda,163,Alexander,187
Zoe,162,Theodore,186
Sophia,162,Harvey,177
Scarlett,158,Harry,176
Zara,148,Archie,176
Sienna,146,Joshua,169
Hannah,135,Connor,169
Abigail,135,Eli,169
Piper,133,Xavier,168
Isabelle,128,Benjamin,168
Emma,119,Max,166
Mackenzie,117,Jackson,164
Savannah,115,Arlo,161
Violet,115,Oscar,159
Mila,112,Carter,159
Frankie,104,Riley,154
Eva,103,Jacob,149
Poppy,100,Jaxon,144
Audrey,100,Ryan,143
Alexis,97,Sebastian,142
Addison,95,Finn,142
Penelope,94,Patrick,138
Aurora,94,George,137
Annabelle,92,Tyler,128
Alice,91,Flynn,124
Elizabeth,90,Isaac,122
Summer,87,Daniel,120
Ayla,86,Edward,118
Maddison,83,Joseph,117
Phoebe,83,Kai,116
Ellie,83,Luca,111
Jasmine,82,Michael,110
Peyton,80,Hugo,107
Freya,80,Parker,105
Hazel,79,Ashton,105
Elsie,79,Austin,105
Madison,75,Sonny,102
Emilia,74,Nate,101
Eloise,73,Chase,101
Claire,72,Blake,101
Daisy,71,Logan,100
Eleanor,69,Jordan,99
Eden,69,Matthew,96
Lilly,68,Braxton,94
Imogen,68,Caleb,93
Bella,68,Hamish,91
Chelsea,67,Jayden,91
Charlie,67,Angus,91
Thea,66,Beau,89
Stella,66,Zachary,88
Rose,66,Vincent,87
Paige,65,Fletcher,87
Sofia,64,Spencer,85
Luna,63,Owen,84
Maya,63,Luke,84
Harlow,63,Ryder,83
Eliza,63,Louis,83
Lacey,62,Darcy,83
Quinn,62,Wyatt,82
Heidi,62,Charles,81
Aaliyah,60,Phoenix,80
Brooklyn,60,Jasper,80
Harriet,59,Jake,79
Hayley,59,Asher,79
Pippa,57,Ezra,76
Molly,57,Dominic,75
Lola,57,Aiden,75
Lara,57,Nathaniel,74
Florence,57,Arthur,73
Holly,56,Bodhi,73
Millie,55,Dylan,71
Amity,55,Toby,70
Madeline,52,Theo,70
Indiana,52,Hayden,69
Madeleine,50,Seth,67
Billie,50,Harley,65
Ariana,50,Hugh,65
