Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Chloe,443,Jack,595
Mia,429,Cooper,561
Emily,418,William,499
Ella,413,Lachlan,496
Charlotte,405,Riley,465
Isabella,396,Joshua,422
Lily,324,Thomas,399
Olivia,322,Ethan,368
Sienna,319,Samuel,363
Sophie,298,Oliver,359
Ava,296,Noah,332
Hannah,277,Benjamin,310
Grace,267,Jacob,287
Amelia,247,James,287
Jessica,244,Ryan,280
Ruby,220,Jackson,273
Matilda,215,Harrison,268
Emma,202,Alexander,252
Zoe,193,Liam,251
Madison,192,Max,248
Sarah,184,Daniel,239
Chelsea,180,Tyler,234
Lucy,179,Matthew,233
Georgia,179,Lucas,233
Hayley,176,Hayden,233
Jasmine,169,Jayden,227
Maddison,161,Luke,217
Holly,159,Jake,216
Lilly,145,Blake,211
Summer,144,Charlie,193
Isabelle,128,Isaac,191
Samantha,127,Dylan,190
Caitlin,127,Bailey,186
Abigail,126,Nicholas,184
Sophia,121,Connor,175
Jade,114,Angus,173
Paige,113,Seth,170
Amber,112,Mitchell,166
Tahlia,110,Hunter,159
Bella,104,Michael,157
Savannah,103,Jordan,156
Claire,101,Zachary,153
Molly,99,Joseph,150
Eva,99,Xavier,149
Elizabeth,98,Harry,143
Layla,96,Lincoln,142
Kate,94,Hamish,142
Imogen,92,Aiden,136
Brooke,90,Caleb,136
Alyssa,86,Jesse,133
Amy,86,Cody,130
Mackenzie,85,Ashton,130
Kayla,85,Levi,129
Zara,81,Cameron,129
Mikayla,81,Elijah,127
Keira,80,Logan,121
Lara,79,Mason,117
Lacey,78,Kai,117
Phoebe,77,Oscar,116
Charli,77,Nate,113
Eliza,76,Henry,110
Taylah,73,Jett,106
Makayla,73,Tyson,103
Charlie,73,Patrick,103
Abbey,72,Alex,103
Tayla,71,Declan,103
Lillian,71,Jai,99
Taylor,70,Beau,95
Erin,69,Tristan,94
Isabel,67,Finn,93
Alexis,67,Sebastian,92
Annabelle,67,Andrew,90
Ellie,66,Brock,90
Scarlett,65,Joel,89
Madeline,65,Adam,89
Lauren,65,Zane,88
Gabrielle,65,Sam,87
Addison,65,Darcy,87
Abby,65,Flynn,85
Kaitlyn,64,Aidan,84
Isla,64,Toby,83
Skye,63,Archie,83
Maya,63,Chase,83
Evie,63,Christopher,79
Alexandra,63,Charles,79
Kiara,62,Owen,78
Gemma,62,Callum,77
Stella,61,Brodie,77
Natalie,61,Taj,76
Poppy,60,Christian,75
Jorja,60,Jaxon,74
Katie,60,David,74
Heidi,59,Zac,73
Leah,58,Nathan,73
Gabriella,58,George,73
Dakota,58,Hudson,72
Anna,57,Dominic,72
Indiana,56,Eli,70
Madeleine,54,Aaron,67
Ebony,54,Robert,65
,,Brayden,65
,,,
,,,
