Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Charlotte,359,Oliver,525
Olivia,320,Noah,383
Isla,319,Jack,324
Amelia,295,William,322
Mia,256,Henry,307
Ava,247,Theodore,283
Harper,227,Elijah,273
Willow,226,Leo,267
Grace,222,Thomas,266
Sophie,206,Hudson,263
Ivy,205,Charlie,252
Isabella,204,Archie,244
Evelyn,189,Harrison,222
Ella,189,Levi,221
Evie,189,Lucas,213
Matilda,187,Hunter,213
Lily,187,Cooper,211
Ruby,179,Archer,208
Lucy,173,Oscar,206
Chloe,173,Alexander,197
Sophia,162,James,190
Frankie,154,Lincoln,187
Violet,142,Mason,182
Mila,142,Arlo,178
Emily,138,Liam,176
Zoe,137,Arthur,167
Hannah,137,George,162
Georgia,136,Lachlan,160
Freya,130,Harvey,157
Elsie,128,Hugo,156
Hazel,128,Ethan,155
Layla,127,Luca,154
Aria,125,Benjamin,154
Scarlett,124,Finn,150
Audrey,124,Jackson,139
Mackenzie,122,Sebastian,136
Ellie,121,Harry,136
Aurora,121,Xavier,135
Alice,120,Max,135
Isabelle,119,Eli,134
Abigail,116,Samuel,133
Sienna,114,Carter,130
Luna,114,Edward,112
Florence,108,Patrick,111
Penelope,105,Flynn,107
Poppy,104,Kai,107
Addison,102,Jacob,104
Eleanor,98,Spencer,103
Zara,96,Riley,103
Emilia,96,Theo,101
Thea,93,Connor,99
Billie,93,Louis,96
Phoebe,90,Joshua,96
Ayla,90,Joseph,95
Harriet,87,Owen,94
Emma,87,Grayson,94
Savannah,84,Isaac,93
Summer,83,Austin,93
Peyton,83,Ryan,90
Imogen,81,Parker,90
Daisy,81,Braxton,89
Elizabeth,80,Ezra,88
Eloise,79,Wyatt,87
Claire,79,Sonny,87
Adeline,79,Jaxon,87
Stella,76,Jasper,87
Remi,76,Fletcher,87
Millie,75,Michael,86
Jasmine,74,Beau,86
Delilah,74,Angus,85
Bonnie,74,Asher,85
Piper,73,Ryder,84
Sadie,70,Jordan,83
Eva,70,Charles,83
Indiana,69,Ashton,83
Quinn,68,Daniel,83
Sofia,68,Jayden,79
Olive,67,Darcy,78
Holly,64,Nate,75
Aubrey,63,Luke,74
Aaliyah,63,Hamish,73
Brooklyn,62,Tyler,70
Harlow,61,Phoenix,70
Bella,60,Maverick,70
Lola,59,Ari,70
Rose,58,Frederick,67
Lilly,55,Caleb,67
Hallie,55,Lennox,66
Pippa,54,Billy,66
Charlie,54,Alfie,66
Maggie,53,River,65
Clara,53,Lewis,65
Chelsea,53,Leonardo,64
Paige,52,Matthew,64
Lillian,52,Luka,64
Eliza,52,Gabriel,64
Annabelle,52,Aiden,64
Rosie,51,Vincent,63
Hayley,51,Felix,63
Maddison,50,Blake,63
Elena,50,,
Gracie,50,,
