Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Charlotte,451,Oliver,527
Mia,349,William,440
Olivia,333,Jack,362
Ava,330,Thomas,330
Amelia,304,Noah,292
Isla,296,Hunter,267
Sophie,263,Lachlan,253
Grace,262,Harrison,252
Emily,257,Mason,251
Evelyn,254,Charlie,251
Chloe,242,Cooper,250
Evie,237,James,248
Harper,235,Hudson,248
Isabella,232,Levi,240
Ella,225,Elijah,237
Willow,213,Henry,236
Ruby,206,Samuel,225
Ivy,202,Ethan,225
Matilda,200,Alexander,225
Georgia,198,Liam,216
Lucy,197,Lucas,214
Lily,192,Leo,212
Sienna,191,Max,208
Sophia,189,Archer,206
Aria,189,Benjamin,198
Scarlett,183,Oscar,193
Zoe,164,Riley,182
Hannah,156,Xavier,182
Emma,147,Jackson,176
Abigail,144,Isaac,176
Layla,143,Lincoln,173
Zara,132,George,172
Isabelle,132,Carter,172
Violet,128,Ryan,168
Piper,125,Nate,167
Eva,124,Archie,167
Maddison,119,Jacob,165
Frankie,116,Harvey,164
Summer,110,Theodore,163
Mackenzie,106,Eli,157
Alexis,106,Harry,155
Chelsea,105,Finn,154
Savannah,101,Tyler,148
Mila,100,Jaxon,140
Jasmine,100,Joshua,138
Audrey,100,Sebastian,137
Ellie,98,Flynn,136
Penelope,96,Connor,133
Elizabeth,96,Hugo,129
Stella,95,Kai,121
Annabelle,95,Arlo,121
Claire,95,Patrick,118
Lilly,90,Michael,117
Aurora,89,Luca,116
Alice,87,Ashton,115
Phoebe,86,Daniel,111
Paige,85,Edward,110
Madison,83,Joseph,108
Imogen,82,Jordan,106
Eloise,82,Austin,103
Peyton,79,Jayden,102
Poppy,79,Chase,102
Eden,79,Matthew,101
Indiana,77,Jake,99
Addison,77,Blake,99
Charlie,77,Ryder,98
Sofia,76,Charles,98
Thea,74,Braxton,96
Holly,74,Luke,95
Eleanor,73,Aiden,95
Sarah,71,Parker,94
Bella,71,Jasper,91
Hayley,70,Zachary,90
Brooklyn,70,Beau,89
Harriet,69,Louis,87
Jessica,68,Fletcher,87
Aaliyah,66,Nicholas,85
Quinn,63,Hamish,85
Lillian,63,Spencer,84
Ayla,63,Owen,82
Elsie,62,Angus,81
Hazel,62,Logan,79
Indie,61,Dylan,79
Eliza,59,Toby,78
Rose,58,Dominic,77
Emilia,58,Seth,74
Freya,57,Caleb,72
Maya,55,Nathaniel,71
Lola,54,Bodhi,70
Lacey,53,Wyatt,69
Anna,53,Jett,69
Daisy,53,Asher,69
Bonnie,52,Hayden,68
Olive,51,Ari,67
Billie,51,Darcy,67
Indi,50,Vincent,66
Elise,50,Bentley,66
Amber,50,Lewis,65
Nevaeh,49,Maxwell,65
Marley,49,Sonny,64
