Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Ruby,440,Cooper,493
Mia,425,William,493
Isabella,401,Jack,452
Chloe,398,Lachlan,430
Charlotte,387,Noah,428
Emily,368,Oliver,386
Ella,363,Riley,374
Lily,331,Thomas,336
Sienna,331,Ethan,325
Sophie,331,Samuel,318
Olivia,328,James,313
Amelia,305,Joshua,312
Ava,300,Jacob,312
Grace,270,Liam,310
Hannah,206,Max,278
Emma,192,Tyler,273
Lucy,191,Benjamin,271
Summer,184,Harrison,251
Lilly,183,Lucas,239
Matilda,183,Alexander,233
Madison,173,Ryan,225
Georgia,172,Connor,223
Abigail,165,Charlie,221
Zoe,163,Xavier,218
Chelsea,151,Levi,217
Maddison,146,Matthew,209
Sophia,146,Jackson,202
Isabelle,145,Blake,201
Layla,145,Jake,197
Jessica,143,Harry,197
Isla,138,Hunter,195
Jasmine,138,Jayden,195
Sarah,136,Hayden,194
Eva,135,Daniel,194
Scarlett,132,Isaac,191
Holly,130,Eli,169
Bella,129,Aiden,168
Hayley,118,Lincoln,164
Imogen,117,Mitchell,162
Savannah,109,Luke,160
Paige,107,Seth,159
Claire,103,Dylan,154
Addison,102,Michael,153
Zara,99,Ashton,152
Alexis,98,Nate,151
Ivy,98,Nicholas,150
Evie,95,Mason,148
Mikayla,94,Jett,147
Stella,94,Elijah,147
Elizabeth,93,Oscar,142
Alyssa,90,Bailey,136
Amber,90,Henry,124
Molly,90,Joseph,124
Tahlia,90,Zachary,124
Willow,90,Logan,122
Phoebe,87,Jordan,121
Caitlin,86,Tyson,121
Charli,81,Sebastian,119
Taylor,81,Kai,116
Kate,78,Angus,114
Poppy,76,Aidan,112
Lara,75,Hamish,112
Mackenzie,74,Caleb,111
Jade,72,Declan,111
Annabelle,71,Patrick,111
Kayla,71,Chase,107
Piper,71,Jai,106
Skye,71,Toby,105
Lola,69,Cameron,104
Samantha,69,Archie,104
Isabel,68,Beau,102
Lillian,68,Nathan,101
Dakota,67,Jaxon,98
Madeline,65,Finn,97
Taylah,65,Jesse,95
Abby,64,Alex,93
Brooke,64,Hudson,89
Erin,64,Cody,87
Maya,64,Edward,87
Amy,62,Darcy,86
Audrey,62,Flynn,83
Violet,62,Andrew,82
Alice,61,Callum,82
Eden,60,Ryder,81
Ellie,60,Charles,79
Eloise,60,Tristan,78
Heidi,60,Phoenix,75
Peyton,60,Jasper,74
Charlie,58,Dominic,73
Indiana,57,Zac,72
Abbey,56,Christopher,71
Tayla,56,Marcus,70
Madeleine,55,Joel,69
Harper,54,Owen,68
Kiara,54,Luca,67
Milla,54,Rhys,67
Gemma,52,Sam,67
Brianna,51,Archer,67
Eliza,51,Brock,67
Gabrielle,51,Zane,66
Keira,51,,
Nevaeh,51,,
Sofia,51,,
