Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Charlotte,449,Oliver,494
Ruby,366,William,469
Emily,354,Jack,429
Mia,354,Cooper,402
Amelia,342,Noah,355
Sophie,334,Ethan,303
Olivia,325,Thomas,299
Ava,323,Lachlan,293
Isabella,316,Harrison,292
Ella,312,Joshua,289
Chloe,278,James,287
Grace,273,Samuel,281
Sienna,258,Mason,280
Sophia,243,Hunter,279
Isla,217,Lucas,274
Lily,213,Alexander,259
Ivy,194,Liam,255
Matilda,186,Riley,234
Emma,185,Benjamin,225
Willow,181,Max,223
Hannah,177,Charlie,218
Harper,176,Jackson,217
Scarlett,169,Henry,214
Abigail,166,Levi,210
Georgia,157,Elijah,201
Lucy,156,Jacob,197
Zoe,153,Hudson,197
Evie,152,Tyler,194
Summer,152,Ryan,192
Layla,150,Eli,190
Eva,138,Xavier,190
Zara,136,Jaxon,190
Maddison,130,Isaac,182
Alexis,129,Connor,182
Lilly,127,Harry,178
Mackenzie,125,Braxton,177
Savannah,119,Flynn,174
Imogen,118,Blake,173
Chelsea,117,Oscar,168
Isabelle,114,Nate,166
Jessica,112,Lincoln,166
Madison,111,Jayden,165
Annabelle,108,Hayden,152
Paige,107,Chase,145
Jasmine,105,Jake,143
Elizabeth,104,Daniel,140
Sarah,103,Archie,137
Bella,100,Sebastian,136
Hayley,97,Luke,130
Evelyn,97,Leo,129
Aria,97,Logan,127
Mila,96,Archer,127
Peyton,94,Patrick,126
Violet,94,Michael,124
Addison,92,Matthew,122
Alice,89,Dylan,117
Piper,89,Zachary,116
Sofia,85,Joseph,116
Poppy,85,Bailey,114
Ellie,84,Beau,113
Eden,82,Ashton,112
Claire,80,Nicholas,108
Nevaeh,79,George,107
Lola,76,Ryder,107
Audrey,76,Aiden,106
Stella,73,Caleb,105
Eloise,70,Parker,104
Alyssa,70,Angus,103
Phoebe,70,Hugo,101
Lillian,68,Dominic,100
Holly,66,Seth,99
Indiana,65,Mitchell,99
Maya,64,Kai,98
Charlie,63,Carter,98
Madeleine,63,Jordan,96
Aaliyah,63,Finn,93
Indigo,60,Nathaniel,91
Brooklyn,59,Hamish,89
Jade,59,Theodore,89
Abby,59,Jett,87
Pippa,58,Alex,87
Alexandra,58,Declan,87
Lacey,58,Edward,86
Samantha,57,Toby,86
Amity,56,Charles,83
Anna,56,Owen,83
Charlee,56,Jasper,82
Indie,56,Jesse,82
Amber,56,Louis,80
Ayla,56,Luca,80
Indi,55,Lewis,80
April,55,John,79
Charli,54,Cody,76
Molly,54,Cameron,75
Olive,53,Bentley,74
Rose,52,Jax,70
Lara,51,Tyson,70
Isabel,51,Nathan,70
Eliza,50,Austin,69
Heidi,50,Darcy,66
Penelope,50,Wyatt,66
Skye,50,Felix,66
,,Jaxson,66
