Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Isla,347,Oliver,506
Olivia,320,Noah,419
Charlotte,307,Henry,363
Willow,288,William,347
Mia,286,Theodore,331
Ava,285,Hudson,302
Grace,279,Jack,296
Amelia,276,Charlie,293
Matilda,224,Elijah,277
Lily,215,Leo,274
Ivy,211,Thomas,247
Harper,210,Archie,245
Ella,206,Harrison,235
Sophie,198,Archer,231
Evie,189,Levi,230
Ruby,185,Lucas,227
Evelyn,182,James,227
Isabella,173,Luca,220
Frankie,172,George,194
Lucy,171,Harry,190
Chloe,168,Hunter,186
Mila,164,Mason,182
Sophia,160,Oscar,180
Georgia,157,Arlo,180
Violet,155,Arthur,180
Layla,155,Cooper,179
Ellie,153,Harvey,178
Aria,152,Liam,177
Luna,149,Lachlan,171
Audrey,142,Ethan,169
Scarlett,141,Carter,169
Zoe,137,Lincoln,165
Hazel,133,Finn,160
Elsie,132,Alexander,158
Penelope,131,Benjamin,156
Alice,130,Riley,152
Poppy,128,Kai,151
Sienna,127,Hugo,149
Aurora,125,Xavier,143
Freya,124,Samuel,136
Florence,123,Max,136
Isabelle,122,Eli,129
Hannah,121,Flynn,127
Abigail,119,Joseph,124
MacKenzie,118,Sebastian,122
Daisy,114,Patrick,121
Emily,110,Beau,119
Eleanor,108,Jackson,118
Ayla,107,Isaac,113
Maya,97,Theo,112
Emilia,97,Austin,110
Savannah,95,Ezra,108
Billie,95,Jaxon,106
Eloise,94,Jacob,105
Sadie,93,Edward,105
Bonnie,93,Parker,103
Remi,92,Jasper,103
Emma,92,Connor,103
Stella,90,Sonny,102
Summer,89,Spencer,102
Harriet,87,Luka,98
Sofia,86,Angus,97
Addison,86,Ryan,96
Peyton,84,Wyatt,93
Piper,84,Jordan,93
Elizabeth,84,Charles,91
Lola,79,River,90
Phoebe,79,Louis,90
Charlie,79,Joshua,90
Millie,77,Billy,90
Imogen,77,Grayson,89
Maddison,76,Hamish,89
Harlow,76,Ryder,88
Delilah,76,Phoenix,87
Olive,75,Braxton,87
Bella,75,Lennox,86
Claire,75,Michael,85
Zara,71,Fletcher,84
Quinn,71,Asher,83
Hallie,69,Bodhi,81
Thea,68,Daniel,81
Pippa,67,Ashton,81
Jasmine,67,Nate,80
Adeline,66,Caleb,78
Lyla,64,Darcy,77
Eva,64,Koa,76
Rosie,63,Luke,75
Lilly,63,Miles,75
Indiana,63,Ari,73
Octavia,61,Louie,69
Maeve,61,Owen,69
Eden,61,Vincent,68
Gracie,61,Maxwell,68
Aaliyah,61,Huxley,68
Brooklyn,60,Elias,67
Heidi,58,Matthew,65
Aubrey,58,Jayden,65
Lillian,57,Ezekiel,65
Maggie,57,Blake,65
Rose,56,Chase,65
