Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Ella,530,Jack,651
Charlotte,430,Lachlan,564
Emily,405,William,475
Mia,395,Riley,453
Chloe,393,Joshua,453
Isabella,387,Cooper,453
Sophie,303,Thomas,414
Lily,298,Ethan,371
Ava,298,Samuel,355
Olivia,279,Ryan,348
Sienna,273,Matthew,326
Jessica,270,Liam,325
Hannah,259,Noah,319
Grace,256,Benjamin,315
Georgia,236,Jacob,311
Ruby,222,Oliver,290
Amelia,222,James,288
Sarah,210,Alexander,275
Emma,200,Jake,257
Madison,189,Daniel,247
Hayley,183,Harrison,242
Lucy,165,Jackson,242
Jasmine,158,Luke,235
Chelsea,153,Jayden,228
Maddison,148,Lucas,227
Zoe,144,Nicholas,219
Lilly,141,Bailey,218
Summer,138,Tyler,216
Holly,136,Dylan,216
Paige,134,Hayden,212
Jade,133,Connor,212
Caitlin,129,Isaac,196
Bella,125,Max,193
Matilda,118,Blake,189
Isabelle,118,Seth,188
Amy,115,Charlie,184
Elizabeth,114,Mitchell,175
Tahlia,111,Joseph,160
Lara,109,Harry,154
Alyssa,109,Jordan,152
Mackenzie,106,Michael,151
Claire,106,Xavier,144
Imogen,105,Oscar,144
Samantha,103,Hunter,144
Abby,99,Caleb,143
Abigail,97,Nathan,142
Sophia,96,Zachary,139
Brooke,94,Kai,139
Savannah,93,Alex,139
Kate,88,Cameron,134
Phoebe,87,Angus,134
Jorja,87,Logan,133
Taylah,86,Cody,126
Molly,86,Ashton,125
Mikayla,86,Patrick,123
Abbey,86,Jett,123
Kayla,85,Jesse,120
Erin,84,Levi,116
Skye,83,Lincoln,115
Gabrielle,80,Elijah,113
Katie,78,Brock,111
Eva,78,Toby,107
Brianna,78,Sebastian,104
Zara,74,Hamish,100
Lauren,74,Mason,97
Scarlett,73,Jai,97
Layla,71,Darcy,95
Kaitlyn,71,Andrew,95
Stella,70,Corey,93
Kiara,69,Aidan,92
Tayla,68,Nate,91
Amber,68,Adam,91
Dakota,68,Tyson,89
Natalie,66,Brayden,89
Charli,66,Tristan,88
Taylor,65,Zac,85
Laura,65,Flynn,85
Maya,65,Aiden,85
Ellie,65,Declan,85
Piper,64,Henry,84
Caitlyn,64,Christopher,84
Alice,64,Finn,83
Ebony,63,Dominic,82
Madeline,61,Beau,82
Evie,60,Joel,80
Keira,58,Callum,79
Aaliyah,58,Marcus,77
Anna,57,Sam,76
Alexandra,56,Christian,76
Alexis,55,Taj,75
Annabelle,54,David,75
Felicity,52,George,74
Charlee,52,Hudson,74
Isabel,51,Will,73
Trinity,50,John,73
Tara,50,Aaron,73
Lillian,50,Zane,71
Katelyn,50,Chase,67
Bianca,50,Brodie,67
Claudia,50,Rhys,66
,,Charles,66
,,,
,,,
