Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Isla,285,Oliver,451
Charlotte,279,Noah,385
Amelia,271,Henry,341
Harper,235,Theodore,328
Olivia,232,Hudson,322
Matilda,207,William,269
Ivy,205,Leo,262
Mia,203,Luca,259
Willow,199,Charlie,246
Ava,196,Jack,244
Hazel,193,Thomas,233
Sophie,189,James,212
Ella,183,Elijah,208
Grace,180,Levi,207
Lily,178,Arthur,197
Sophia,176,Harrison,196
Evelyn,170,Arlo,193
Isabella,168,Harvey,187
Violet,164,Cooper,181
Aria,155,Archie,178
Lucy,151,George,156
Daisy,149,Carter,156
Mila,148,Theo,153
Ruby,141,Lucas,152
Ellie,141,Kai,149
Layla,139,Hunter,144
Florence,135,Hugo,141
Freya,130,Oscar,140
Evie,130,Max,138
Penelope,129,Liam,138
Millie,128,Archer,138
Luna,127,Alexander,134
Mackenzie,126,Xavier,128
Billie,126,Harry,125
Chloe,125,Sonny,124
Aurora,124,Sebastian,117
Elsie,121,Lincoln,117
Georgia,119,Austin,117
Audrey,116,Ezra,115
Sienna,114,Beau,114
Sadie,110,Finn,112
Zoe,108,Benjamin,111
Eleanor,105,Samuel,110
Poppy,103,Mason,109
Isabelle,102,Patrick,109
Ayla,102,Eli,109
Abigail,99,Riley,107
Harlow,98,Lachlan,106
Scarlett,97,Miles,103
Frankie,96,Fletcher,103
Remi,94,Jasper,101
Emily,94,Luka,97
Sofia,93,Billy,96
Bonnie,93,Parker,95
Olive,90,Louis,95
Maeve,90,Edward,95
Summer,89,Spencer,92
Hallie,89,Grayson,92
Alice,85,Ethan,92
Zara,83,Isaac,88
Eloise,83,Alfie,87
Phoebe,79,Koa,85
Stella,78,Jackson,85
Harriet,77,Angus,81
Delilah,75,Ollie,80
Elizabeth,75,Louie,80
Hannah,72,Myles,79
Lola,71,Hamish,79
Addison,71,Lennox,79
Maya,70,Reuben,76
Emma,70,Asher,76
Pippa,69,Maverick,75
Athena,69,Jaxon,75
Adeline,67,Felix,74
Nora,66,Flynn,73
Emilia,66,Bodhi,73
Maisie,63,Ryan,72
Octavia,62,Ryder,72
Paisley,61,Vincent,71
Rose,60,Michael,71
Quinn,60,Jordan,71
Claire,60,Jacob,70
Savannah,59,Roman,69
Eden,59,Darcy,69
Riley,58,Tommy,68
Piper,56,Wyatt,68
Bella,56,River,68
Thea,55,August,67
Sage,55,Jude,66
Lilly,55,Malakai,66
Gracie,54,Joseph,66
Elena,54,Joshua,66
Peyton,53,Owen,65
Maggie,53,Rory,64
Lainey,53,Caleb,64
Margot,52,Matthew,63
Aubrey,52,Frederick,63
Heidi,51,Daniel,62
Lillian,51,Finley,62
Aaliyah,51,Ari,61
