Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Mia,408,William,567
Chloe,404,Jack,563
Isabella,403,Cooper,554
Charlotte,387,Lachlan,489
Emily,386,Riley,432
Ella,385,Joshua,399
Sophie,360,Oliver,397
Olivia,352,Ethan,375
Lily,346,Thomas,368
Ruby,318,Samuel,359
Ava,311,Noah,355
Sienna,292,Tyler,304
Grace,286,Benjamin,288
Amelia,276,James,280
Hannah,219,Jacob,278
Emma,215,Ryan,274
Georgia,206,Liam,257
Matilda,203,Matthew,250
Sarah,199,Max,250
Jessica,175,Lucas,249
Zoe,173,Alexander,248
Madison,172,Jackson,246
Chelsea,166,Jayden,245
Maddison,165,Harrison,245
Jasmine,164,Jake,241
Summer,162,Charlie,241
Lucy,156,Daniel,236
Hayley,153,Isaac,230
Isabelle,142,Blake,227
Elizabeth,142,Connor,221
Abigail,140,Hayden,216
Bella,138,Luke,205
Holly,136,Seth,198
Lilly,133,Dylan,186
Sophia,131,Levi,185
Paige,131,Xavier,181
Tahlia,124,Bailey,181
Layla,110,Mitchell,180
Jade,107,Michael,171
Eva,104,Angus,165
Isla,102,Nicholas,163
Samantha,100,Harry,163
Caitlin,98,Lincoln,160
Imogen,96,Hunter,155
Charli,95,Aiden,155
Zara,94,Caleb,150
Alexis,94,Oscar,149
Savannah,93,Cody,147
Scarlett,92,Jett,145
Tayla,92,Joseph,143
Phoebe,92,Hamish,140
Evie,92,Logan,138
Willow,91,Jordan,138
Lara,91,Nate,137
Amber,91,Eli,137
Taylor,88,Zachary,136
Mikayla,88,Henry,134
Amy,84,Elijah,132
Kayla,83,Ashton,129
Maya,82,Declan,121
Mackenzie,80,Kai,120
Claire,80,Nathan,117
Abby,79,Jesse,112
Katie,78,Mason,110
Addison,77,Tyson,107
Molly,75,Sebastian,104
Ellie,73,Patrick,104
Poppy,72,Cameron,104
Gemma,72,Chase,103
Taylah,71,Archie,102
Skye,71,John,101
Lauren,71,Jai,101
Stella,70,Alex,100
Madeline,70,David,99
Isabel,70,Ryder,98
Gabrielle,69,Finn,97
Alyssa,69,Jaxon,97
Keira,68,Callum,96
Lillian,66,Flynn,93
Gabriella,64,Beau,92
Brooke,64,Dominic,92
Dakota,63,Darcy,89
Laura,61,Toby,85
Kate,61,Christian,85
Kiara,60,Rhys,83
Eden,60,Aidan,83
Stephanie,59,Joel,82
Anna,59,Zac,81
Piper,58,Hudson,81
Alice,58,Tristan,80
Ebony,58,Gabriel,80
Alexandra,57,Brock,78
Trinity,56,Sam,77
Natalie,54,Zane,77
Indiana,54,Christopher,77
Tia,53,Andrew,77
Lola,53,Brayden,77
Makayla,53,Edward,76
Annabelle,53,Charles,74
Charlee,53,Phoenix,73
Violet,52,,
Brianna,52,,
,,,
