Name,Sex,Year,Count
STEVEN,Male,1972,266
TIMOTHY,Male,1989,266
DARREN,Male,1973,265
DONNA,Female,1965,265
GEORGIA,Female,2002,265
GREGORY,Male,1967,265
NICHOLAS,Male,2005,265
TRACEY,Female,1972,265
WAYNE,Male,1969,265
HANNAH,Female,2000,264
IAN,Male,1962,264
JOHN,Male,1983,264
SANDRA,Female,1963,264
STEVEN,Male,1973,264
STEVEN,Male,1974,264
AARON,Male,1983,263
AMY,Female,1985,263
ANTHONY,Male,1976,263
BRETT,Male,1962,263
LUKE,Male,2005,263
MICHELLE,Female,1981,263
ADAM,Male,1989,262
BRETT,Male,1968,262
JOHN,Male,1978,262
RILEY,Male,2004,262
STEVEN,Male,1980,262
AMY,Female,1988,261
BRETT,Male,1966,261
CHRISTINE,Female,1961,261
CONNOR,Male,2004,261
COURTNEY,Female,1996,261
DONNA,Female,1968,261
GARY,Male,1962,261
KYLIE,Female,1982,261
NATHAN,Male,1980,261
ROBERT,Male,1979,261
SANDRA,Female,1962,261
BRADLEY,Male,1972,260
CHLOE,Female,1997,260
DANIEL,Male,1972,260
MARK,Male,1984,260
NATHAN,Male,1996,260
ASHLEIGH,Female,1989,259
DONNA,Female,1961,259
JOHN,Male,1984,259
KYLIE,Female,1983,259
NICHOLAS,Male,1984,259
TROY,Male,1973,259
ALEXANDER,Male,1996,258
ANTHONY,Male,1981,258
CHRISTOPHER,Male,1996,258
JOHN,Male,1977,258
JULIE,Female,1969,258
SAMUEL,Male,1989,258
SHANE,Male,1977,258
CHRISTOPHER,Male,1964,257
CHRISTOPHER,Male,1997,257
HARRISON,Male,2005,257
NATHAN,Male,1979,257
SANDRA,Female,1967,257
STEVEN,Male,1966,257
COOPER,Male,2005,256
LEANNE,Female,1962,256
LEANNE,Female,1967,256
PETER,Male,1984,256
RYAN,Male,1986,256
RYAN,Male,1987,256
SAMUEL,Male,1988,256
BRADLEY,Male,1977,255
DYLAN,Male,1992,255
HELEN,Female,1961,255
JASON,Male,1986,255
MICHELLE,Female,1962,255
MICHELLE,Female,1980,255
NICOLE,Female,1971,255
TIMOTHY,Male,1990,255
CONNOR,Male,2002,254
EMMA,Female,1992,254
EMMA,Female,2000,254
EMMA,Female,2003,254
ETHAN,Male,2000,254
HARRISON,Male,2002,254
HELEN,Female,1960,254
