Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Amelia,321,Oliver,539
Charlotte,308,Noah,393
Isla,296,William,359
Olivia,285,Hudson,357
Ava,250,Henry,341
Mia,245,Theodore,340
Willow,233,Leo,332
Matilda,232,Charlie,276
Lily,228,Jack,267
Ella,216,Luca,257
Ivy,208,Thomas,255
Sophie,204,Elijah,238
Harper,199,Archie,236
Ruby,197,Levi,228
Grace,194,Lucas,223
Evelyn,180,Harrison,220
Isabella,177,Hunter,202
Sophia,168,Cooper,200
Violet,162,James,196
Hazel,161,Archer,188
Luna,160,Harry,182
Aurora,158,George,177
Sienna,157,Xavier,172
Evie,150,Arlo,172
Mila,145,Alexander,171
Aria,144,Theo,167
Freya,142,Harvey,167
Layla,141,Arthur,164
Chloe,138,Oscar,158
Lucy,135,Lachlan,153
Penelope,133,Kai,144
Georgia,132,Hugo,144
Ellie,132,Mason,143
Florence,132,Liam,143
Elsie,129,Benjamin,138
Daisy,127,Lincoln,136
Audrey,123,Samuel,134
Zoe,122,Max,133
Frankie,122,Sonny,131
Poppy,119,Sebastian,123
Eleanor,119,Carter,121
Millie,117,Finn,120
Scarlett,114,Riley,116
Abigail,110,Ethan,116
Remi,105,Ezra,115
Sadie,105,Austin,115
Maeve,103,Edward,114
Isabelle,103,Louis,113
Sofia,102,Patrick,112
Alice,102,Eli,111
Mackenzie,101,River,107
Eloise,100,Grayson,107
Zara,99,Parker,106
Emily,99,Flynn,105
Hallie,95,Beau,105
Ayla,94,Jackson,102
Lola,92,Jasper,100
Piper,91,Isaac,100
Hannah,90,Fletcher,98
Bonnie,89,Lennox,96
Stella,86,Angus,95
Olive,83,Asher,95
Harriet,83,Darcy,92
Charlie,83,Charles,92
Delilah,82,Roman,90
Billie,81,Ryder,88
Maya,80,Koa,88
Addison,80,Braxton,88
Summer,79,Spencer,87
Emma,78,Wyatt,86
Emilia,77,Malakai,86
Harlow,73,Felix,86
Savannah,72,Billy,86
Lilly,71,Maverick,84
Adeline,69,Luka,82
Peyton,68,Hugh,82
Phoebe,68,Alfie,82
Gracie,67,Ari,79
Athena,67,Hamish,78
Thea,66,Joseph,76
Rosie,65,Vincent,75
Quinn,65,Bodhi,75
Eva,65,Remy,74
Elizabeth,65,Reuben,74
Eden,63,Tyler,72
Claire,62,Jordan,72
Bella,62,Ashton,71
Rose,61,Michael,70
Heidi,61,Leon,70
Pippa,60,Jaxon,70
Imogen,60,Finley,70
Margot,59,Jacob,69
Madeline,55,Ryan,68
Jasmine,54,Phoenix,68
Arabella,54,Oakley,68
Sage,53,Connor,68
Skylar,52,Elias,67
Maggie,52,Xander,66
Brooklyn,52,Owen,64
Hayley,51,Louie,64
