Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Sophie,389,Cooper,475
Ruby,387,William,470
Chloe,374,Jack,438
Isabella,360,Ethan,421
Mia,358,Lachlan,391
Emily,355,Oliver,382
Charlotte,346,Noah,365
Sienna,338,Riley,321
Ava,336,Thomas,318
Ella,324,Samuel,311
Olivia,323,Joshua,302
Grace,317,Jacob,292
Amelia,315,Liam,285
Lily,274,Lucas,270
Lucy,191,Tyler,257
Hannah,191,Benjamin,256
Sophia,190,James,252
Emma,187,Charlie,250
Georgia,171,Levi,237
Summer,157,Max,234
Lilly,155,Harrison,233
Matilda,155,Alexander,229
Maddison,153,Mason,227
Zoe,150,Eli,211
Madison,148,Ryan,210
Savannah,147,Xavier,207
Abigail,146,Hunter,206
Chelsea,142,Jayden,204
Jessica,140,Nate,203
Isla,138,Jake,202
Jasmine,134,Hayden,201
Isabelle,134,Isaac,193
Scarlett,131,Connor,186
Evie,127,Harry,180
Hayley,126,Jackson,178
Eva,124,Luke,176
Layla,122,Blake,173
Alexis,121,Matthew,172
Paige,115,Elijah,168
Holly,112,Daniel,166
Sarah,111,Henry,155
Addison,107,Oscar,154
Ivy,105,Flynn,153
Willow,103,Logan,139
Mackenzie,100,Bailey,138
Imogen,100,Joseph,137
Elizabeth,97,Mitchell,136
Bella,96,Aiden,135
Piper,91,Seth,133
Harper,89,Nicholas,131
Stella,89,Sebastian,130
Claire,88,Ashton,128
Annabelle,86,Michael,120
Molly,84,Lincoln,117
Alyssa,83,Jett,117
Maya,82,Zachary,117
Sofia,79,Chase,116
Zara,76,Dylan,114
Skye,76,Finn,112
Nevaeh,75,Kai,111
Phoebe,74,Jaxon,111
Alice,72,Jordan,110
Ellie,71,Caleb,110
Jade,70,Patrick,108
Heidi,70,Beau,106
Caitlin,69,Hamish,105
Violet,68,Darcy,105
Taylor,67,Archie,105
Tahlia,67,Hudson,104
Mikayla,67,Angus,101
Poppy,65,Owen,100
Isabel,65,Edward,96
Evelyn,64,Cameron,95
Dakota,63,Ryder,91
Aaliyah,63,Archer,90
Charli,63,Tyson,89
Lillian,63,Toby,85
Eden,62,Declan,83
Indiana,62,Alex,83
Amy,62,Cody,81
Amber,61,Jesse,80
Peyton,60,Charles,80
Samantha,60,Phoenix,78
Charlie,59,Callum,77
Taylah,59,George,74
Abby,57,Nathaniel,73
Tayla,55,Dominic,73
Lacey,55,Austin,72
Erin,54,Jasper,72
Eloise,54,Hugo,71
Faith,54,Lewis,69
Eliza,54,Aidan,69
Ebony,53,David,69
Abbey,53,Andrew,68
Lola,53,Tristan,66
Kate,52,Luca,65
Milla,51,John,65
Brianna,51,Jai,63
Audrey,51,Gabriel,62
Katie,51,Leo,61
Rose,51,Christian,61
,,Christopher,61
