Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Charlotte,465,Jack,481
Sophie,403,Cooper,456
Ruby,401,William,438
Chloe,346,Ethan,383
Ava,338,Oliver,380
Mia,333,Noah,376
Emily,331,Lachlan,345
Isabella,330,Thomas,325
Olivia,330,Liam,320
Amelia,317,James,290
Ella,314,Samuel,290
Grace,282,Riley,284
Sienna,266,Jacob,269
Lily,259,Lucas,265
Sophia,244,Mason,254
Isla,201,Harrison,251
Hannah,192,Benjamin,250
Lucy,190,Charlie,243
Matilda,188,Hunter,240
Emma,178,Alexander,239
Zoe,177,Joshua,234
Summer,174,Max,224
Abigail,163,Tyler,223
Lilly,161,Levi,223
Evie,151,Braxton,223
Ivy,148,Xavier,219
Maddison,140,Eli,209
Savannah,139,Ryan,208
Eva,138,Jackson,208
Chelsea,137,Isaac,184
Madison,137,Blake,183
Layla,136,Elijah,179
Scarlett,133,Nate,179
Georgia,128,Flynn,176
Alexis,127,Henry,175
Harper,124,Jayden,173
Isabelle,122,Connor,172
Jessica,122,Hayden,171
Willow,120,Harry,171
Sarah,117,Jake,168
Jasmine,110,Matthew,167
Bella,109,Jaxon,164
Zara,109,Daniel,162
Addison,107,Oscar,160
Mackenzie,107,Hudson,145
Paige,107,Dylan,139
Elizabeth,104,Luke,138
Stella,104,Aiden,136
Holly,103,Joseph,133
Imogen,103,Lincoln,130
Annabelle,101,Mitchell,129
Hayley,96,Michael,127
Alice,94,Patrick,126
Sofia,93,Zachary,125
Audrey,90,Archie,122
Ellie,86,Leo,121
Piper,82,Bailey,120
Jade,80,Sebastian,120
Poppy,80,Carter,117
Claire,79,Declan,115
Molly,75,Archer,114
Evelyn,72,Seth,114
Maya,72,Ryder,111
Amber,71,Kai,111
Mila,70,Logan,109
Phoebe,70,Finn,108
Skye,70,Caleb,108
Charlie,69,Beau,107
Peyton,68,Chase,107
Violet,68,Nicholas,107
Eloise,67,Angus,106
Heidi,66,Jordan,105
Alyssa,65,Dominic,105
Lacey,65,Ashton,101
Taylor,63,Nathan,97
Eden,63,Tyson,96
Lillian,62,Hamish,96
Milla,62,Alex,90
Indiana,60,George,89
Rose,60,Cody,88
Tahlia,60,Edward,87
Mikayla,59,Jasper,87
Lara,59,Hugo,86
Pippa,57,Jett,85
Charli,56,Toby,84
Samantha,55,Cameron,83
Aria,54,Owen,83
Nevaeh,54,Phoenix,82
Abby,53,Charles,81
Madeleine,53,Jesse,80
Aaliyah,52,Darcy,72
Lola,52,Callum,72
Brooklyn,51,David,71
Caitlin,51,Marcus,71
Kate,51,Luca,69
Makayla,51,Parker,68
Alexandra,50,Austin,68
Indie,50,Harley,66
Charlee,49,Adam,64
Amy,49,Zane,64
Arabella,49,,
Brooke,49,,
Gabriella,49,,
