Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Olivia,386,Oliver,512
Charlotte,380,William,462
Mia,341,Jack,393
Ruby,322,Noah,368
Sophie,322,Harrison,330
Ava,321,Thomas,323
Emily,313,Hunter,302
Amelia,311,Cooper,299
Chloe,283,Lucas,274
Isabella,272,James,273
Ella,264,Samuel,270
Grace,253,Lachlan,269
Isla,245,Mason,269
Sophia,227,Liam,265
Ivy,205,Ethan,258
Willow,201,Henry,257
Sienna,191,Alexander,250
Harper,189,Levi,239
Lily,186,Max,225
Matilda,183,Hudson,225
Scarlett,181,Elijah,221
Abigail,175,Jackson,212
Lucy,172,Charlie,212
Hannah,171,Xavier,207
Evie,164,Benjamin,203
Zoe,158,Jacob,202
Layla,157,Riley,200
Emma,157,Joshua,186
Georgia,154,Archer,185
Isabelle,151,Leo,183
Evelyn,144,Eli,179
Maddison,136,Harry,179
Summer,136,Ryan,173
Savannah,135,Flynn,170
Annabelle,131,Lincoln,168
Aria,129,Isaac,166
Lilly,126,Tyler,165
Imogen,125,Blake,165
Zara,123,Archie,163
Eva,121,Jaxon,162
Alexis,121,Oscar,159
Jasmine,116,Nate,159
Elizabeth,114,Carter,156
Mila,110,Connor,150
Madison,107,Braxton,150
Audrey,105,Patrick,148
Mackenzie,102,Chase,144
Stella,102,Jayden,140
Alice,102,Hayden,134
Piper,101,Sebastian,132
Poppy,98,George,129
Violet,98,Jake,121
Ellie,96,Luke,120
Sofia,92,Matthew,116
Chelsea,91,Daniel,116
Holly,91,Joseph,115
Bella,90,Kai,114
Jessica,88,Michael,112
Addison,86,Finn,110
Paige,84,Caleb,109
Molly,83,Theodore,107
Maya,79,Logan,106
Eden,79,Aiden,106
Sarah,78,Edward,102
Phoebe,77,Parker,101
Peyton,74,Luca,99
Eloise,69,Austin,98
Anna,69,Hugo,97
Heidi,67,Ashton,96
Claire,67,Beau,96
Lacey,65,Bailey,93
Ariana,65,Dylan,93
Indiana,64,Zachary,92
Hayley,64,Louis,92
Alyssa,63,Seth,90
Isabel,62,David,88
Eleanor,61,Ryder,87
Lara,60,Angus,87
Charlie,60,Hamish,86
Amber,59,Nathaniel,85
Indie,59,Dominic,85
Elsie,59,Nicholas,83
Rose,58,Declan,82
Ayla,58,Jett,81
Pippa,57,Charles,81
Nevaeh,57,Jasper,81
Jade,57,Jordan,81
Aaliyah,57,Toby,80
Frankie,56,Phoenix,80
Brooklyn,56,Harvey,80
Bonnie,56,Owen,77
Olive,53,Fletcher,76
Penelope,53,Mitchell,74
Madeleine,52,Alex,74
Lillian,52,Jaxson,72
Skye,51,Jai,72
Alexandra,51,Tyson,70
Madeline,50,Nathan,68
Lola,50,Harley,68
Gabriella,50,John,67
Indigo,50,,
