Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Charlotte,415,Oliver,541
Olivia,357,William,463
Amelia,344,Jack,402
Ava,322,Noah,314
Mia,314,Thomas,310
Emily,280,Harrison,293
Sophie,276,Ethan,293
Grace,260,Cooper,285
Ella,248,James,280
Ruby,245,Henry,257
Isabella,236,Mason,255
Isla,232,Hunter,252
Scarlett,223,Liam,249
Evie,222,Lucas,243
Chloe,213,Lachlan,242
Harper,210,Hudson,236
Matilda,209,Alexander,230
Ivy,206,Levi,229
Sophia,202,Charlie,225
Willow,192,Samuel,217
Evelyn,192,Elijah,214
Lucy,184,Max,204
Georgia,183,Benjamin,203
Sienna,179,Leo,201
Lily,178,Archie,199
Emma,165,Riley,192
Layla,160,Joshua,190
Hannah,160,Harry,189
Zoe,152,Jacob,188
Abigail,151,Oscar,182
Aria,146,Ryan,178
Zara,138,Jaxon,178
Mackenzie,133,Archer,177
Eva,133,Nate,174
Summer,127,Jackson,174
Alexis,125,Eli,168
Isabelle,122,Lincoln,167
Maddison,121,Xavier,165
Imogen,116,Carter,163
Alice,114,George,162
Savannah,108,Isaac,155
Mila,105,Sebastian,147
Violet,104,Tyler,146
Annabelle,99,Flynn,142
Chelsea,97,Patrick,140
Madison,96,Hugo,138
Piper,95,Connor,137
Phoebe,94,Daniel,134
Elizabeth,93,Finn,133
Stella,92,Theodore,130
Audrey,92,Ashton,129
Claire,88,Blake,128
Jessica,88,Matthew,126
Penelope,86,Jake,124
Ellie,86,Michael,123
Peyton,85,Joseph,122
Lilly,85,Braxton,122
Jasmine,82,Jayden,122
Poppy,81,Chase,112
Hayley,81,Aiden,107
Eloise,81,Edward,106
Frankie,81,Hayden,106
Addison,80,Luke,105
Indiana,80,Jordan,105
Aurora,78,Hamish,104
Paige,75,Luca,100
Bella,75,Dominic,100
Holly,73,Harvey,100
Lola,72,Parker,99
Sofia,71,Austin,99
Ariana,71,Ryder,98
Heidi,69,Beau,98
Ayla,69,Logan,96
Sarah,65,Nicholas,96
Lillian,65,Caleb,93
Eden,64,Kai,93
Rose,63,Seth,90
Maya,60,Darcy,90
Charlie,60,Dylan,90
Anna,59,Nathaniel,88
Harriet,57,Angus,83
Madeleine,56,Zachary,80
Elsie,56,Charles,80
Alyssa,56,Jett,78
Pippa,54,Mitchell,77
Brooklyn,54,Bailey,77
Nevaeh,53,Lewis,76
Maggie,52,Jax,76
Molly,51,Owen,75
Lara,51,Maxwell,75
Faith,51,Fletcher,75
Amber,51,Louis,74
Amity,50,Declan,70
Josephine,50,Spencer,69
Aaliyah,50,Wyatt,69
Eliza,50,David,69
Marley,49,Nathan,67
Marlee,49,Jasper,67
Lyla,48,Phoenix,65
Eleanor,47,Jesse,65
,,Harley,65
,,,
,,,
