"","name","number","sex","year"
"193","Peyton",53,"Female",2023
"194","Maggie",53,"Female",2023
"195","Lainey",53,"Female",2023
"196","Margot",52,"Female",2023
"197","Aubrey",52,"Female",2023
"198","Heidi",51,"Female",2023
"199","Lillian",51,"Female",2023
"200","Aaliyah",51,"Female",2023
"201","Oliver",539,"Male",2022
"202","Noah",393,"Male",2022
"203","William",359,"Male",2022
"204","Hudson",357,"Male",2022
"205","Henry",341,"Male",2022
"206","Theodore",340,"Male",2022
"207","Leo",332,"Male",2022
"208","Charlie",276,"Male",2022
"209","Jack",267,"Male",2022
"210","Luca",257,"Male",2022
"211","Thomas",255,"Male",2022
"212","Elijah",238,"Male",2022
"213","Archie",236,"Male",2022
"214","Levi",228,"Male",2022
"215","Lucas",223,"Male",2022
"216","Harrison",220,"Male",2022
"217","Hunter",202,"Male",2022
"218","Cooper",200,"Male",2022
"219","James",196,"Male",2022
"220","Archer",188,"Male",2022
"221","Harry",182,"Male",2022
"222","George",177,"Male",2022
"223","Xavier",172,"Male",2022
"224","Arlo",172,"Male",2022
"225","Alexander",171,"Male",2022
"226","Theo",167,"Male",2022
"227","Harvey",167,"Male",2022
"228","Arthur",164,"Male",2022
"229","Oscar",158,"Male",2022
"230","Lachlan",153,"Male",2022
"231","Kai",144,"Male",2022
"232","Hugo",144,"Male",2022
"233","Mason",143,"Male",2022
"234","Liam",143,"Male",2022
"235","Benjamin",138,"Male",2022
"236","Lincoln",136,"Male",2022
"237","Samuel",134,"Male",2022
"238","Max",133,"Male",2022
"239","Sonny",131,"Male",2022
"240","Sebastian",123,"Male",2022
"241","Carter",121,"Male",2022
"242","Finn",120,"Male",2022
"243","Riley",116,"Male",2022
"244","Ethan",116,"Male",2022
"245","Ezra",115,"Male",2022
"246","Austin",115,"Male",2022
"247","Edward",114,"Male",2022
"248","Louis",113,"Male",2022
"249","Patrick",112,"Male",2022
"250","Eli",111,"Male",2022
"251","River",107,"Male",2022
"252","Grayson",107,"Male",2022
"253","Parker",106,"Male",2022
"254","Flynn",105,"Male",2022
"255","Beau",105,"Male",2022
"256","Jackson",102,"Male",2022
"257","Jasper",100,"Male",2022
"258","Isaac",100,"Male",2022
"259","Fletcher",98,"Male",2022
"260","Lennox",96,"Male",2022
"261","Angus",95,"Male",2022
"262","Asher",95,"Male",2022
"263","Darcy",92,"Male",2022
"264","Charles",92,"Male",2022
"265","Roman",90,"Male",2022
"266","Ryder",88,"Male",2022
"267","Koa",88,"Male",2022
"268","Braxton",88,"Male",2022
"269","Spencer",87,"Male",2022
"270","Wyatt",86,"Male",2022
"271","Malakai",86,"Male",2022
"272","Felix",86,"Male",2022
"273","Billy",86,"Male",2022
"274","Maverick",84,"Male",2022
"275","Luka",82,"Male",2022
"276","Hugh",82,"Male",2022
"277","Alfie",82,"Male",2022
"278","Ari",79,"Male",2022
"279","Hamish",78,"Male",2022
"280","Joseph",76,"Male",2022
"281","Vincent",75,"Male",2022
"282","Bodhi",75,"Male",2022
"283","Remy",74,"Male",2022
"284","Reuben",74,"Male",2022
"285","Tyler",72,"Male",2022
"286","Jordan",72,"Male",2022
"287","Ashton",71,"Male",2022
"288","Michael",70,"Male",2022
"289","Leon",70,"Male",2022
"290","Jaxon",70,"Male",2022
"291","Finley",70,"Male",2022
"292","Jacob",69,"Male",2022
"293","Ryan",68,"Male",2022
"294","Phoenix",68,"Male",2022
"295","Oakley",68,"Male",2022
"296","Connor",68,"Male",2022
"297","Elias",67,"Male",2022
"298","Xander",66,"Male",2022
"299","Owen",64,"Male",2022
"300","Louie",64,"Male",2022
"301","Amelia",321,"Female",2022
"302","Charlotte",308,"Female",2022
"303","Isla",296,"Female",2022
"304","Olivia",285,"Female",2022
"305","Ava",250,"Female",2022
"306","Mia",245,"Female",2022
"307","Willow",233,"Female",2022
"308","Matilda",232,"Female",2022
"309","Lily",228,"Female",2022
"310","Ella",216,"Female",2022
"311","Ivy",208,"Female",2022
"312","Sophie",204,"Female",2022
"313","Harper",199,"Female",2022
"314","Ruby",197,"Female",2022
"315","Grace",194,"Female",2022
"316","Evelyn",180,"Female",2022
"317","Isabella",177,"Female",2022
"318","Sophia",168,"Female",2022
"319","Violet",162,"Female",2022
"320","Hazel",161,"Female",2022
"321","Luna",160,"Female",2022
"322","Aurora",158,"Female",2022
"323","Sienna",157,"Female",2022
"324","Evie",150,"Female",2022
"325","Mila",145,"Female",2022
"326","Aria",144,"Female",2022
"327","Freya",142,"Female",2022
"328","Layla",141,"Female",2022
"329","Chloe",138,"Female",2022
"330","Lucy",135,"Female",2022
"331","Penelope",133,"Female",2022
"332","Georgia",132,"Female",2022
"333","Ellie",132,"Female",2022
"334","Florence",132,"Female",2022
"335","Elsie",129,"Female",2022
"336","Daisy",127,"Female",2022
"337","Audrey",123,"Female",2022
"338","Zoe",122,"Female",2022
"339","Frankie",122,"Female",2022
"340","Poppy",119,"Female",2022
"341","Eleanor",119,"Female",2022
"342","Millie",117,"Female",2022
"343","Scarlett",114,"Female",2022
"344","Abigail",110,"Female",2022
"345","Remi",105,"Female",2022
"346","Sadie",105,"Female",2022
"347","Maeve",103,"Female",2022
"348","Isabelle",103,"Female",2022
"349","Sofia",102,"Female",2022
"350","Alice",102,"Female",2022
